2023-12-13 18:18:21 t1dms 6 elm elm DEC_8_2023 test None 60 1
2023-12-13 18:18:21 {'hist': 180, 'neurons': 2016.0, 'l2': 1.0} [0.6104336343061553]
2023-12-13 18:18:22 {'hist': 180, 'neurons': 2016.0, 'l2': 10.0} [0.4924834726045659]
2023-12-13 18:18:22 {'hist': 180, 'neurons': 2016.0, 'l2': 100.0} [0.4730551376102572]
2023-12-13 18:18:22 {'hist': 180, 'neurons': 2016.0, 'l2': 1000.0} [0.4911171891284164]
2023-12-13 18:18:23 {'hist': 180, 'neurons': 4032.0, 'l2': 1.0} [0.6884827237655908]
2023-12-13 18:18:23 {'hist': 180, 'neurons': 4032.0, 'l2': 10.0} [0.5030956085666073]
2023-12-13 18:18:24 {'hist': 180, 'neurons': 4032.0, 'l2': 100.0} [0.4672530892066315]
2023-12-13 18:18:25 {'hist': 180, 'neurons': 4032.0, 'l2': 1000.0} [0.4791461792837037]
2023-12-13 18:18:26 {'hist': 180, 'neurons': 6048.0, 'l2': 1.0} [0.695966029523338]
2023-12-13 18:18:27 {'hist': 180, 'neurons': 6048.0, 'l2': 10.0} [0.5140864542102299]
2023-12-13 18:18:28 {'hist': 180, 'neurons': 6048.0, 'l2': 100.0} [0.4637684383515862]
2023-12-13 18:18:29 {'hist': 180, 'neurons': 6048.0, 'l2': 1000.0} [0.4732602469843483]
2023-12-13 18:18:30 {'hist': 180, 'neurons': 8064.0, 'l2': 1.0} [0.6947874557727423]
2023-12-13 18:18:31 {'hist': 180, 'neurons': 8064.0, 'l2': 10.0} [0.5210097950000798]
2023-12-13 18:18:32 {'hist': 180, 'neurons': 8064.0, 'l2': 100.0} [0.47015139653627364]
2023-12-13 18:18:33 {'hist': 180, 'neurons': 8064.0, 'l2': 1000.0} [0.47551859507770416]
2023-12-13 18:18:35 {'hist': 180, 'neurons': 10080.0, 'l2': 1.0} [0.6861029202096545]
2023-12-13 18:18:36 {'hist': 180, 'neurons': 10080.0, 'l2': 10.0} [0.5268713975475002]
2023-12-13 18:18:37 {'hist': 180, 'neurons': 10080.0, 'l2': 100.0} [0.46839334703917856]
2023-12-13 18:18:39 {'hist': 180, 'neurons': 10080.0, 'l2': 1000.0} [0.47036662056198003]
2023-12-13 18:18:40 {'hist': 180, 'neurons': 12096.0, 'l2': 1.0} [0.7145128260040672]
2023-12-13 18:18:42 {'hist': 180, 'neurons': 12096.0, 'l2': 10.0} [0.5397752283001843]
2023-12-13 18:18:44 {'hist': 180, 'neurons': 12096.0, 'l2': 100.0} [0.47117211965060957]
2023-12-13 18:18:45 {'hist': 180, 'neurons': 12096.0, 'l2': 1000.0} [0.4690337691824119]
2023-12-13 18:18:47 {'hist': 180, 'neurons': 14112.0, 'l2': 1.0} [0.709515912662448]
2023-12-13 18:18:49 {'hist': 180, 'neurons': 14112.0, 'l2': 10.0} [0.5492058642105209]
2023-12-13 18:18:51 {'hist': 180, 'neurons': 14112.0, 'l2': 100.0} [0.4755002982584105]
2023-12-13 18:18:52 {'hist': 180, 'neurons': 14112.0, 'l2': 1000.0} [0.4688048904763639]
2023-12-13 18:18:54 {'hist': 180, 'neurons': 16128.0, 'l2': 1.0} [0.6999738080578707]
2023-12-13 18:18:56 {'hist': 180, 'neurons': 16128.0, 'l2': 10.0} [0.5469004315427916]
2023-12-13 18:18:58 {'hist': 180, 'neurons': 16128.0, 'l2': 100.0} [0.4752831790243595]
2023-12-13 18:19:01 {'hist': 180, 'neurons': 16128.0, 'l2': 1000.0} [0.4664807697442836]
2023-12-13 18:19:03 {'hist': 180, 'neurons': 18144.0, 'l2': 1.0} [0.7130621314592438]
2023-12-13 18:19:05 {'hist': 180, 'neurons': 18144.0, 'l2': 10.0} [0.5575854955420648]
2023-12-13 18:19:07 {'hist': 180, 'neurons': 18144.0, 'l2': 100.0} [0.4828070651097452]
2023-12-13 18:19:10 {'hist': 180, 'neurons': 18144.0, 'l2': 1000.0} [0.46924753343296244]
2023-12-13 18:19:12 {'hist': 180, 'neurons': 20160.0, 'l2': 1.0} [0.6911823220919011]
2023-12-13 18:19:15 {'hist': 180, 'neurons': 20160.0, 'l2': 10.0} [0.547831133455815]
2023-12-13 18:19:17 {'hist': 180, 'neurons': 20160.0, 'l2': 100.0} [0.4763312897083968]
2023-12-13 18:19:20 {'hist': 180, 'neurons': 20160.0, 'l2': 1000.0} [0.46607231591455006]
2023-12-13 18:19:20 {'hist': 180, 'neurons': 4704.0, 'l2': 31.622776601683793} [0.48617386730053946]
2023-12-13 18:19:21 {'hist': 180, 'neurons': 4704.0, 'l2': 100.0} [0.47381300520163966]
2023-12-13 18:19:22 {'hist': 180, 'neurons': 4704.0, 'l2': 316.2277660168379} [0.4744120684344199]
2023-12-13 18:19:23 {'hist': 180, 'neurons': 4704.0, 'l2': 999.9999999999998} [0.4810953914423912]
2023-12-13 18:19:24 {'hist': 180, 'neurons': 5376.0, 'l2': 31.622776601683793} [0.4822378393330023]
2023-12-13 18:19:24 {'hist': 180, 'neurons': 5376.0, 'l2': 100.0} [0.4694997699626791]
2023-12-13 18:19:25 {'hist': 180, 'neurons': 5376.0, 'l2': 316.2277660168379} [0.47025857814139177]
2023-12-13 18:19:26 {'hist': 180, 'neurons': 5376.0, 'l2': 999.9999999999998} [0.4772158976055077]
2023-12-13 18:19:27 {'hist': 180, 'neurons': 6048.0, 'l2': 31.622776601683793} [0.47763390662096944]
2023-12-13 18:19:28 {'hist': 180, 'neurons': 6048.0, 'l2': 100.0} [0.4637684383515862]
2023-12-13 18:19:29 {'hist': 180, 'neurons': 6048.0, 'l2': 316.2277660168379} [0.4649719453573423]
2023-12-13 18:19:30 {'hist': 180, 'neurons': 6048.0, 'l2': 999.9999999999998} [0.4732602469843483]
2023-12-13 18:19:31 {'hist': 180, 'neurons': 6720.0, 'l2': 31.622776601683793} [0.48071867992847656]
2023-12-13 18:19:32 {'hist': 180, 'neurons': 6720.0, 'l2': 100.0} [0.4677528948736114]
2023-12-13 18:19:33 {'hist': 180, 'neurons': 6720.0, 'l2': 316.2277660168379} [0.46899375518277825]
