2023-12-13 12:37:11 t1dms 5 elm elm DEC_8_2023 test None 60 1
2023-12-13 12:37:11 {'hist': 180, 'neurons': 2016.0, 'l2': 1.0} [0.6002764173910738]
2023-12-13 12:37:12 {'hist': 180, 'neurons': 2016.0, 'l2': 10.0} [0.4950946509014907]
2023-12-13 12:37:12 {'hist': 180, 'neurons': 2016.0, 'l2': 100.0} [0.47748153185625275]
2023-12-13 12:37:12 {'hist': 180, 'neurons': 2016.0, 'l2': 1000.0} [0.4963748109340991]
2023-12-13 12:37:13 {'hist': 180, 'neurons': 4032.0, 'l2': 1.0} [0.6302885312209805]
2023-12-13 12:37:14 {'hist': 180, 'neurons': 4032.0, 'l2': 10.0} [0.5002721583000228]
2023-12-13 12:37:14 {'hist': 180, 'neurons': 4032.0, 'l2': 100.0} [0.47174347045047654]
2023-12-13 12:37:15 {'hist': 180, 'neurons': 4032.0, 'l2': 1000.0} [0.4818550023895989]
2023-12-13 12:37:16 {'hist': 180, 'neurons': 6048.0, 'l2': 1.0} [0.6274430631399858]
2023-12-13 12:37:17 {'hist': 180, 'neurons': 6048.0, 'l2': 10.0} [0.5067506353489001]
2023-12-13 12:37:18 {'hist': 180, 'neurons': 6048.0, 'l2': 100.0} [0.4688568975977475]
2023-12-13 12:37:19 {'hist': 180, 'neurons': 6048.0, 'l2': 1000.0} [0.4781372038650629]
2023-12-13 12:37:20 {'hist': 180, 'neurons': 8064.0, 'l2': 1.0} [0.6433219945784948]
2023-12-13 12:37:21 {'hist': 180, 'neurons': 8064.0, 'l2': 10.0} [0.5074643780461733]
2023-12-13 12:37:22 {'hist': 180, 'neurons': 8064.0, 'l2': 100.0} [0.4651279897805233]
2023-12-13 12:37:24 {'hist': 180, 'neurons': 8064.0, 'l2': 1000.0} [0.47037038506022755]
2023-12-13 12:37:25 {'hist': 180, 'neurons': 10080.0, 'l2': 1.0} [0.6465766644743106]
2023-12-13 12:37:26 {'hist': 180, 'neurons': 10080.0, 'l2': 10.0} [0.5175238253711468]
2023-12-13 12:37:28 {'hist': 180, 'neurons': 10080.0, 'l2': 100.0} [0.46796302579693594]
2023-12-13 12:37:29 {'hist': 180, 'neurons': 10080.0, 'l2': 1000.0} [0.4706779077892029]
2023-12-13 12:37:31 {'hist': 180, 'neurons': 12096.0, 'l2': 1.0} [0.6378104722256895]
2023-12-13 12:37:33 {'hist': 180, 'neurons': 12096.0, 'l2': 10.0} [0.5128475397101145]
2023-12-13 12:37:34 {'hist': 180, 'neurons': 12096.0, 'l2': 100.0} [0.4654716196047132]
2023-12-13 12:37:36 {'hist': 180, 'neurons': 12096.0, 'l2': 1000.0} [0.4691981235040526]
