2023-11-06 08:55:44 ohio 559 svr svr NOV_3_2023 test None 120 1
2023-11-06 08:55:58 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.001, 'gamma': 1e-05} [1.1514649349934252]
2023-11-06 08:56:02 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.001, 'gamma': 0.0001} [1.13528812989198]
2023-11-06 08:56:05 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.001, 'gamma': 0.001} [1.0742987947858933]
2023-11-06 08:56:09 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.01, 'gamma': 1e-05} [1.150426789656425]
2023-11-06 08:56:12 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.01, 'gamma': 0.0001} [1.1351396046339202]
2023-11-06 08:56:15 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.01, 'gamma': 0.001} [1.0737539472558362]
2023-11-06 08:56:19 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.1, 'gamma': 1e-05} [1.1476667634918223]
2023-11-06 08:56:22 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.1, 'gamma': 0.0001} [1.1324251168336594]
2023-11-06 08:56:25 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.1, 'gamma': 0.001} [1.0745587089145303]
2023-11-06 08:56:28 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.001, 'gamma': 1e-05} [1.0335103130219039]
2023-11-06 08:56:32 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.001, 'gamma': 0.0001} [0.9815399405237246]
2023-11-06 08:56:35 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.001, 'gamma': 0.001} [0.9550764067668116]
2023-11-06 08:56:38 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.01, 'gamma': 1e-05} [1.0332339550146203]
2023-11-06 08:56:42 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.01, 'gamma': 0.0001} [0.9810251544587677]
2023-11-06 08:56:45 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.01, 'gamma': 0.001} [0.954904261684884]
2023-11-06 08:56:48 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 1e-05} [1.0347165282834239]
2023-11-06 08:56:52 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 0.0001} [0.9809203199258862]
2023-11-06 08:56:55 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 0.001} [0.9519480550313693]
2023-11-06 08:56:58 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.001, 'gamma': 1e-05} [0.9624215889554171]
2023-11-06 08:57:06 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.001, 'gamma': 0.0001} [0.9768902886592886]
2023-11-06 08:57:31 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.001, 'gamma': 0.001} [1.188377274512154]
