2023-12-10 00:33:21 ohio 570 svr svr DEC_8_2023 test None 120 1
2023-12-10 00:33:29 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.001, 'gamma': 1e-05} [1.2064873108921346]
2023-12-10 00:33:31 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.001, 'gamma': 0.0001} [1.1117607898048651]
2023-12-10 00:33:34 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.001, 'gamma': 0.001} [0.9432710398949088]
2023-12-10 00:33:37 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.01, 'gamma': 1e-05} [1.2066946330706405]
2023-12-10 00:33:40 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.01, 'gamma': 0.0001} [1.1121184996653026]
2023-12-10 00:33:43 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.01, 'gamma': 0.001} [0.9435868570535515]
2023-12-10 00:33:46 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.1, 'gamma': 1e-05} [1.207051759360005]
2023-12-10 00:33:49 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.1, 'gamma': 0.0001} [1.1127826314275062]
2023-12-10 00:33:52 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.1, 'gamma': 0.001} [0.9443196255072758]
2023-12-10 00:33:55 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.001, 'gamma': 1e-05} [0.8503803654211721]
2023-12-10 00:33:58 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.001, 'gamma': 0.0001} [0.7586963758915953]
2023-12-10 00:34:01 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.001, 'gamma': 0.001} [0.6983648474021703]
2023-12-10 00:34:04 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.01, 'gamma': 1e-05} [0.8502213129466801]
2023-12-10 00:34:07 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.01, 'gamma': 0.0001} [0.7587885737221269]
2023-12-10 00:34:10 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.01, 'gamma': 0.001} [0.6984097043768166]
2023-12-10 00:34:13 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 1e-05} [0.8533657030165345]
2023-12-10 00:34:16 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 0.0001} [0.7582925828557794]
2023-12-10 00:34:18 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 0.001} [0.6970268026362073]
2023-12-10 00:34:22 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.001, 'gamma': 1e-05} [0.7215117638596129]
2023-12-10 00:34:28 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.001, 'gamma': 0.0001} [0.6677160634263091]
2023-12-10 00:35:01 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.001, 'gamma': 0.001} [0.8178087829132605]
2023-12-10 00:35:05 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.01, 'gamma': 1e-05} [0.7212330864934067]
2023-12-10 00:35:10 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.01, 'gamma': 0.0001} [0.6678138420003242]
2023-12-10 00:35:38 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.01, 'gamma': 0.001} [0.8176678594864707]
2023-12-10 00:35:41 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 1e-05} [0.720118354215127]
2023-12-10 00:35:46 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 0.0001} [0.6642539633707061]
2023-12-10 00:36:10 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 0.001} [0.8077945874122849]
2023-12-10 00:36:13 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.0316227766016838, 'gamma': 3.1622776601683795e-05} [0.7337528787367084]
2023-12-10 00:36:16 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.0316227766016838, 'gamma': 0.0001} [0.7074502526477823]
2023-12-10 00:36:19 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.0316227766016838, 'gamma': 0.000316227766016838} [0.6754579285612585]
2023-12-10 00:36:22 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.1, 'gamma': 3.1622776601683795e-05} [0.732846900261412]
2023-12-10 00:36:25 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.1, 'gamma': 0.0001} [0.7052605049823569]
2023-12-10 00:36:28 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.1, 'gamma': 0.000316227766016838} [0.6741790347542469]
2023-12-10 00:36:30 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.316227766016838, 'gamma': 3.1622776601683795e-05} [0.7415904231165468]
2023-12-10 00:36:32 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.316227766016838, 'gamma': 0.0001} [0.7082823474698859]
2023-12-10 00:36:34 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.316227766016838, 'gamma': 0.000316227766016838} [0.6747252102252121]
2023-12-10 00:36:38 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.0316227766016838, 'gamma': 3.1622776601683795e-05} [0.6945161722364822]
2023-12-10 00:36:43 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.0316227766016838, 'gamma': 0.0001} [0.6668410294653138]
2023-12-10 00:36:55 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.0316227766016838, 'gamma': 0.000316227766016838} [0.6701339188011021]
2023-12-10 00:36:58 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 3.1622776601683795e-05} [0.6923941926241826]
2023-12-10 00:37:03 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 0.0001} [0.6642539633707061]
2023-12-10 00:37:13 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 0.000316227766016838} [0.6711547203614269]
2023-12-10 00:37:16 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.316227766016838, 'gamma': 3.1622776601683795e-05} [0.6923916196035043]
2023-12-10 00:37:19 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.316227766016838, 'gamma': 0.0001} [0.6618876925533446]
2023-12-10 00:37:25 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.316227766016838, 'gamma': 0.000316227766016838} [0.6783281309019004]
2023-12-10 00:37:45 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.0316227766016838, 'gamma': 3.1622776601683795e-05} [0.6609210295331867]
2023-12-10 00:38:49 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.0316227766016838, 'gamma': 0.0001} [0.6884402617714261]
2023-12-10 00:41:50 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.0316227766016838, 'gamma': 0.000316227766016838} [0.81850248249926]
2023-12-10 00:42:07 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.1, 'gamma': 3.1622776601683795e-05} [0.6596705228000863]
2023-12-10 00:43:07 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.1, 'gamma': 0.0001} [0.6878538774694112]
