2023-12-14 17:39:58 t1dms 10 svr svr DEC_8_2023 test None 120 1
2023-12-14 17:39:59 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.001, 'gamma': 1e-05} [0.9001429116788897]
2023-12-14 17:39:59 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.001, 'gamma': 0.0001} [0.897311117722078]
2023-12-14 17:40:00 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.001, 'gamma': 0.001} [0.8831718372284587]
2023-12-14 17:40:01 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.01, 'gamma': 1e-05} [0.8996469533504817]
2023-12-14 17:40:01 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.01, 'gamma': 0.0001} [0.8973075816370791]
2023-12-14 17:40:02 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.01, 'gamma': 0.001} [0.8835161984947356]
2023-12-14 17:40:03 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.1, 'gamma': 1e-05} [0.8983675187257222]
2023-12-14 17:40:03 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.1, 'gamma': 0.0001} [0.8964022938095645]
2023-12-14 17:40:04 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.1, 'gamma': 0.001} [0.8831219940009416]
2023-12-14 17:40:05 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.001, 'gamma': 1e-05} [0.8657262675322995]
2023-12-14 17:40:05 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.001, 'gamma': 0.0001} [0.834407534704571]
2023-12-14 17:40:06 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.001, 'gamma': 0.001} [0.8120879023230295]
2023-12-14 17:40:07 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.01, 'gamma': 1e-05} [0.8662331158653365]
2023-12-14 17:40:07 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.01, 'gamma': 0.0001} [0.8347048785920905]
2023-12-14 17:40:08 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.01, 'gamma': 0.001} [0.8126316112068191]
2023-12-14 17:40:09 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 1e-05} [0.8648903978066201]
2023-12-14 17:40:09 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 0.0001} [0.836065764131856]
2023-12-14 17:40:10 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 0.001} [0.8131597642484586]
2023-12-14 17:40:11 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.001, 'gamma': 1e-05} [0.828515452689752]
2023-12-14 17:40:12 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.001, 'gamma': 0.0001} [0.8102012312373744]
2023-12-14 17:40:17 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.001, 'gamma': 0.001} [0.7887603064860992]
2023-12-14 17:40:18 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.01, 'gamma': 1e-05} [0.8288717081270174]
2023-12-14 17:40:19 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.01, 'gamma': 0.0001} [0.8108991225490445]
2023-12-14 17:40:23 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.01, 'gamma': 0.001} [0.7869807856217137]
2023-12-14 17:40:24 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 1e-05} [0.8286769740127227]
2023-12-14 17:40:25 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 0.0001} [0.8084317854549288]
2023-12-14 17:40:29 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 0.001} [0.7763474424745327]
2023-12-14 17:40:30 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.0316227766016838, 'gamma': 0.00031622776601683794} [0.8092738863760933]
2023-12-14 17:40:31 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.0316227766016838, 'gamma': 0.001} [0.7919132232175468]
2023-12-14 17:40:32 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.0316227766016838, 'gamma': 0.0031622776601683794} [0.7723812578363461]
2023-12-14 17:40:33 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.1, 'gamma': 0.00031622776601683794} [0.8088560923105073]
2023-12-14 17:40:33 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.1, 'gamma': 0.001} [0.7886511448848736]
2023-12-14 17:40:34 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.1, 'gamma': 0.0031622776601683794} [0.7698083551436982]
2023-12-14 17:40:35 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.316227766016838, 'gamma': 0.00031622776601683794} [0.8112579527716651]
2023-12-14 17:40:36 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.316227766016838, 'gamma': 0.001} [0.7905691280241932]
2023-12-14 17:40:36 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.316227766016838, 'gamma': 0.0031622776601683794} [0.7819234404012588]
2023-12-14 17:40:38 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.0316227766016838, 'gamma': 0.00031622776601683794} [0.794359587869354]
2023-12-14 17:40:42 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.0316227766016838, 'gamma': 0.001} [0.7830845603531686]
2023-12-14 17:40:49 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.0316227766016838, 'gamma': 0.0031622776601683794} [0.9271000346880666]
2023-12-14 17:40:51 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 0.00031622776601683794} [0.7950704235636294]
2023-12-14 17:40:55 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 0.001} [0.7763474424745327]
2023-12-14 17:41:00 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 0.0031622776601683794} [0.8868656664858452]
