2023-12-09 12:53:55 ohio 563 svr svr DEC_8_2023 test None 120 1
2023-12-09 12:54:03 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.001, 'gamma': 1e-05} [1.3364757599910353]
2023-12-09 12:54:06 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.001, 'gamma': 0.0001} [1.3125387456034765]
2023-12-09 12:54:10 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.001, 'gamma': 0.001} [1.2897341580039126]
2023-12-09 12:54:13 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.01, 'gamma': 1e-05} [1.3378273520124926]
2023-12-09 12:54:16 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.01, 'gamma': 0.0001} [1.312783726956634]
2023-12-09 12:54:20 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.01, 'gamma': 0.001} [1.2899152286171405]
2023-12-09 12:54:23 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.1, 'gamma': 1e-05} [1.3367843954498937]
2023-12-09 12:54:26 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.1, 'gamma': 0.0001} [1.3136631213471466]
2023-12-09 12:54:30 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.1, 'gamma': 0.001} [1.2910886454340713]
2023-12-09 12:54:33 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.001, 'gamma': 1e-05} [1.2044824953230127]
2023-12-09 12:54:37 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.001, 'gamma': 0.0001} [1.2355087919251622]
2023-12-09 12:54:40 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.001, 'gamma': 0.001} [1.2210896935293438]
2023-12-09 12:54:44 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.01, 'gamma': 1e-05} [1.2043141314520314]
2023-12-09 12:54:47 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.01, 'gamma': 0.0001} [1.2357762658930558]
2023-12-09 12:54:51 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.01, 'gamma': 0.001} [1.220692974053654]
2023-12-09 12:54:54 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 1e-05} [1.2072262289869886]
2023-12-09 12:54:57 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 0.0001} [1.230253397200209]
2023-12-09 12:55:01 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 0.001} [1.2235475774792806]
2023-12-09 12:55:04 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.001, 'gamma': 1e-05} [1.2240577439582594]
2023-12-09 12:55:12 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.001, 'gamma': 0.0001} [1.2747079313231529]
2023-12-09 12:55:47 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.001, 'gamma': 0.001} [1.8135332252615886]
2023-12-09 12:55:51 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.01, 'gamma': 1e-05} [1.224586642171217]
2023-12-09 12:55:58 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.01, 'gamma': 0.0001} [1.274362553372847]
2023-12-09 12:56:32 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.01, 'gamma': 0.001} [1.8106705134988095]
2023-12-09 12:56:36 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 1e-05} [1.2257185365250933]
2023-12-09 12:56:43 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 0.0001} [1.275911167066201]
2023-12-09 12:57:08 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 0.001} [1.8427775025569633]
2023-12-09 12:57:12 {'hist': 180, 'kernel': 'rbf', 'C': 0.1778279410038923, 'epsilon': 0.0031622776601683794, 'gamma': 3.1622776601683796e-06} [1.3220436254708388]
2023-12-09 12:57:15 {'hist': 180, 'kernel': 'rbf', 'C': 0.1778279410038923, 'epsilon': 0.0031622776601683794, 'gamma': 1e-05} [1.2961099201751596]
2023-12-09 12:57:19 {'hist': 180, 'kernel': 'rbf', 'C': 0.1778279410038923, 'epsilon': 0.0031622776601683794, 'gamma': 3.1622776601683795e-05} [1.25761043593439]
2023-12-09 12:57:22 {'hist': 180, 'kernel': 'rbf', 'C': 0.1778279410038923, 'epsilon': 0.01, 'gamma': 3.1622776601683796e-06} [1.3223453943960095]
2023-12-09 12:57:26 {'hist': 180, 'kernel': 'rbf', 'C': 0.1778279410038923, 'epsilon': 0.01, 'gamma': 1e-05} [1.2960987468125769]
