2023-12-12 13:14:43 t1dms 1 elm elm DEC_8_2023 test None 30 1
2023-12-12 13:14:43 {'hist': 180, 'neurons': 2016.0, 'l2': 1.0} [0.45275395107259275]
2023-12-12 13:14:44 {'hist': 180, 'neurons': 2016.0, 'l2': 10.0} [0.3474195312047113]
2023-12-12 13:14:44 {'hist': 180, 'neurons': 2016.0, 'l2': 100.0} [0.35140803778936514]
2023-12-12 13:14:44 {'hist': 180, 'neurons': 2016.0, 'l2': 1000.0} [0.39395023474248064]
2023-12-12 13:14:45 {'hist': 180, 'neurons': 4032.0, 'l2': 1.0} [0.4507473623284119]
2023-12-12 13:14:45 {'hist': 180, 'neurons': 4032.0, 'l2': 10.0} [0.343538297049791]
2023-12-12 13:14:46 {'hist': 180, 'neurons': 4032.0, 'l2': 100.0} [0.329643446079605]
2023-12-12 13:14:47 {'hist': 180, 'neurons': 4032.0, 'l2': 1000.0} [0.3720848696195409]
2023-12-12 13:14:48 {'hist': 180, 'neurons': 6048.0, 'l2': 1.0} [0.44864349158952405]
2023-12-12 13:14:49 {'hist': 180, 'neurons': 6048.0, 'l2': 10.0} [0.34529026588012235]
2023-12-12 13:14:50 {'hist': 180, 'neurons': 6048.0, 'l2': 100.0} [0.3197784730962723]
2023-12-12 13:14:51 {'hist': 180, 'neurons': 6048.0, 'l2': 1000.0} [0.35693483688939814]
2023-12-12 13:14:52 {'hist': 180, 'neurons': 8064.0, 'l2': 1.0} [0.42071919165297617]
2023-12-12 13:14:53 {'hist': 180, 'neurons': 8064.0, 'l2': 10.0} [0.34347647377755636]
2023-12-12 13:14:54 {'hist': 180, 'neurons': 8064.0, 'l2': 100.0} [0.3183000226699792]
2023-12-12 13:14:55 {'hist': 180, 'neurons': 8064.0, 'l2': 1000.0} [0.3567451537055627]
2023-12-12 13:14:57 {'hist': 180, 'neurons': 10080.0, 'l2': 1.0} [0.40799258213892686]
2023-12-12 13:14:58 {'hist': 180, 'neurons': 10080.0, 'l2': 10.0} [0.34186902026931465]
2023-12-12 13:15:00 {'hist': 180, 'neurons': 10080.0, 'l2': 100.0} [0.3153280477295996]
2023-12-12 13:15:01 {'hist': 180, 'neurons': 10080.0, 'l2': 1000.0} [0.34945845537749426]
2023-12-12 13:15:02 {'hist': 180, 'neurons': 12096.0, 'l2': 1.0} [0.43374414825429614]
2023-12-12 13:15:04 {'hist': 180, 'neurons': 12096.0, 'l2': 10.0} [0.3552580490790537]
2023-12-12 13:15:06 {'hist': 180, 'neurons': 12096.0, 'l2': 100.0} [0.31713339189772927]
2023-12-12 13:15:07 {'hist': 180, 'neurons': 12096.0, 'l2': 1000.0} [0.3460288248687715]
2023-12-12 13:15:09 {'hist': 180, 'neurons': 14112.0, 'l2': 1.0} [0.417516020310981]
2023-12-12 13:15:11 {'hist': 180, 'neurons': 14112.0, 'l2': 10.0} [0.3484763843168888]
2023-12-12 13:15:13 {'hist': 180, 'neurons': 14112.0, 'l2': 100.0} [0.3143735835665447]
2023-12-12 13:15:15 {'hist': 180, 'neurons': 14112.0, 'l2': 1000.0} [0.3433030366050409]
2023-12-12 13:15:17 {'hist': 180, 'neurons': 16128.0, 'l2': 1.0} [0.4106532972344806]
2023-12-12 13:15:19 {'hist': 180, 'neurons': 16128.0, 'l2': 10.0} [0.35046541836450384]
2023-12-12 13:15:21 {'hist': 180, 'neurons': 16128.0, 'l2': 100.0} [0.31296864011016495]
2023-12-12 13:15:23 {'hist': 180, 'neurons': 16128.0, 'l2': 1000.0} [0.3382807176853992]
2023-12-12 13:15:25 {'hist': 180, 'neurons': 18144.0, 'l2': 1.0} [0.40780145418146313]
2023-12-12 13:15:27 {'hist': 180, 'neurons': 18144.0, 'l2': 10.0} [0.3513335731475035]
2023-12-12 13:15:30 {'hist': 180, 'neurons': 18144.0, 'l2': 100.0} [0.3156664572034211]
