2023-12-13 10:52:09 t1dms 5 elm elm DEC_8_2023 test None 30 1
2023-12-13 10:52:09 {'hist': 180, 'neurons': 2016.0, 'l2': 1.0} [0.4118763498805706]
2023-12-13 10:52:10 {'hist': 180, 'neurons': 2016.0, 'l2': 10.0} [0.35469097438126745]
2023-12-13 10:52:10 {'hist': 180, 'neurons': 2016.0, 'l2': 100.0} [0.3527059463706822]
2023-12-13 10:52:10 {'hist': 180, 'neurons': 2016.0, 'l2': 1000.0} [0.3787250005759112]
2023-12-13 10:52:11 {'hist': 180, 'neurons': 4032.0, 'l2': 1.0} [0.4022893199098665]
2023-12-13 10:52:11 {'hist': 180, 'neurons': 4032.0, 'l2': 10.0} [0.3350126762897246]
2023-12-13 10:52:12 {'hist': 180, 'neurons': 4032.0, 'l2': 100.0} [0.33439252734191277]
2023-12-13 10:52:13 {'hist': 180, 'neurons': 4032.0, 'l2': 1000.0} [0.3579199271419098]
2023-12-13 10:52:14 {'hist': 180, 'neurons': 6048.0, 'l2': 1.0} [0.42012696979188696]
2023-12-13 10:52:15 {'hist': 180, 'neurons': 6048.0, 'l2': 10.0} [0.3468997872410242]
2023-12-13 10:52:16 {'hist': 180, 'neurons': 6048.0, 'l2': 100.0} [0.33303238724508233]
2023-12-13 10:52:17 {'hist': 180, 'neurons': 6048.0, 'l2': 1000.0} [0.3518721783952904]
2023-12-13 10:52:18 {'hist': 180, 'neurons': 8064.0, 'l2': 1.0} [0.4086430509825178]
2023-12-13 10:52:19 {'hist': 180, 'neurons': 8064.0, 'l2': 10.0} [0.3345373924517465]
2023-12-13 10:52:20 {'hist': 180, 'neurons': 8064.0, 'l2': 100.0} [0.32381087929013264]
2023-12-13 10:52:21 {'hist': 180, 'neurons': 8064.0, 'l2': 1000.0} [0.34554050689144183]
2023-12-13 10:52:23 {'hist': 180, 'neurons': 10080.0, 'l2': 1.0} [0.42775901077420664]
2023-12-13 10:52:24 {'hist': 180, 'neurons': 10080.0, 'l2': 10.0} [0.3399921279558983]
2023-12-13 10:52:26 {'hist': 180, 'neurons': 10080.0, 'l2': 100.0} [0.3209510666934056]
2023-12-13 10:52:27 {'hist': 180, 'neurons': 10080.0, 'l2': 1000.0} [0.34156159046468965]
2023-12-13 10:52:28 {'hist': 180, 'neurons': 12096.0, 'l2': 1.0} [0.41552461777694627]
2023-12-13 10:52:30 {'hist': 180, 'neurons': 12096.0, 'l2': 10.0} [0.339831509979341]
2023-12-13 10:52:32 {'hist': 180, 'neurons': 12096.0, 'l2': 100.0} [0.32136386499681846]
2023-12-13 10:52:33 {'hist': 180, 'neurons': 12096.0, 'l2': 1000.0} [0.34011171623410746]
2023-12-13 10:52:35 {'hist': 180, 'neurons': 14112.0, 'l2': 1.0} [0.4189322774411353]
2023-12-13 10:52:37 {'hist': 180, 'neurons': 14112.0, 'l2': 10.0} [0.34473283189978116]
2023-12-13 10:52:39 {'hist': 180, 'neurons': 14112.0, 'l2': 100.0} [0.32458279524453676]
2023-12-13 10:52:41 {'hist': 180, 'neurons': 14112.0, 'l2': 1000.0} [0.340136972777844]
2023-12-13 10:52:43 {'hist': 180, 'neurons': 16128.0, 'l2': 1.0} [0.43914772519104206]
2023-12-13 10:52:45 {'hist': 180, 'neurons': 16128.0, 'l2': 10.0} [0.35105024000098517]
2023-12-13 10:52:47 {'hist': 180, 'neurons': 16128.0, 'l2': 100.0} [0.32084688150441015]
2023-12-13 10:52:49 {'hist': 180, 'neurons': 16128.0, 'l2': 1000.0} [0.33740121769601333]
2023-12-13 10:52:51 {'hist': 180, 'neurons': 18144.0, 'l2': 1.0} [0.4327537459859887]
2023-12-13 10:52:53 {'hist': 180, 'neurons': 18144.0, 'l2': 10.0} [0.3509536916756876]
2023-12-13 10:52:56 {'hist': 180, 'neurons': 18144.0, 'l2': 100.0} [0.32129672191617054]
2023-12-13 10:52:58 {'hist': 180, 'neurons': 18144.0, 'l2': 1000.0} [0.33617832107548573]
2023-12-13 10:53:00 {'hist': 180, 'neurons': 20160.0, 'l2': 1.0} [0.4300737283727486]
2023-12-13 10:53:03 {'hist': 180, 'neurons': 20160.0, 'l2': 10.0} [0.3511584741386161]
2023-12-13 10:53:05 {'hist': 180, 'neurons': 20160.0, 'l2': 100.0} [0.3211521701071986]
2023-12-13 10:53:08 {'hist': 180, 'neurons': 20160.0, 'l2': 1000.0} [0.33486640348703467]
2023-12-13 10:53:10 {'hist': 180, 'neurons': 14784.0, 'l2': 31.622776601683793} [0.3285477528265724]
2023-12-13 10:53:12 {'hist': 180, 'neurons': 14784.0, 'l2': 100.0} [0.3208422383063133]
2023-12-13 10:53:13 {'hist': 180, 'neurons': 14784.0, 'l2': 316.2277660168379} [0.3255246129311566]
2023-12-13 10:53:15 {'hist': 180, 'neurons': 14784.0, 'l2': 999.9999999999998} [0.33642392215150174]
2023-12-13 10:53:17 {'hist': 180, 'neurons': 15456.0, 'l2': 31.622776601683793} [0.33050342572439495]
2023-12-13 10:53:19 {'hist': 180, 'neurons': 15456.0, 'l2': 100.0} [0.32500135597749313]
2023-12-13 10:53:21 {'hist': 180, 'neurons': 15456.0, 'l2': 316.2277660168379} [0.32936202372867085]
2023-12-13 10:53:23 {'hist': 180, 'neurons': 15456.0, 'l2': 999.9999999999998} [0.33900953946539475]
2023-12-13 10:53:25 {'hist': 180, 'neurons': 16128.0, 'l2': 31.622776601683793} [0.32797978789123167]
2023-12-13 10:53:27 {'hist': 180, 'neurons': 16128.0, 'l2': 100.0} [0.32084688150441015]
2023-12-13 10:53:29 {'hist': 180, 'neurons': 16128.0, 'l2': 316.2277660168379} [0.3263217517965025]
2023-12-13 10:53:31 {'hist': 180, 'neurons': 16128.0, 'l2': 999.9999999999998} [0.3374012176960133]
2023-12-13 10:53:34 {'hist': 180, 'neurons': 16800.0, 'l2': 31.622776601683793} [0.33119959614992894]
2023-12-13 10:53:36 {'hist': 180, 'neurons': 16800.0, 'l2': 100.0} [0.3245092864116793]
2023-12-13 10:53:38 {'hist': 180, 'neurons': 16800.0, 'l2': 316.2277660168379} [0.3287470217068691]
2023-12-13 10:53:40 {'hist': 180, 'neurons': 16800.0, 'l2': 999.9999999999998} [0.3381505312770406]
2023-12-13 10:53:51 ({'RMSE': 17.0327557019813, 'MAPE': 8.492918677033801, 'MASE': 1.0381314835490394, 'TG': 14.0, 'CG_EGA_AP': 0.9274053490795415, 'CG_EGA_BE': 0.0571726293852032, 'CG_EGA_EP': 0.015422021535255298, 'CG_EGA_AP_hypo': 0.8966101694915254, 'CG_EGA_BE_hypo': 0.028813559322033895, 'CG_EGA_EP_hypo': 0.07457627118644068, 'CG_EGA_AP_eu': 0.9443528841492972, 'CG_EGA_BE_eu': 0.04643722733882695, 'CG_EGA_EP_eu': 0.009209888511875907, 'CG_EGA_AP_hyper': 0.8825214899713467, 'CG_EGA_BE_hyper': 0.09369627507163324, 'CG_EGA_EP_hyper': 0.023782234957020056, 'P_EGA_A+B': 0.9973601945119833, 'P_EGA_A': 0.9504689128169505, 'P_EGA_B': 0.046891281695032996, 'P_EGA_C': 0.0, 'P_EGA_D': 0.002639805488016672, 'P_EGA_E': 0.0, 'R_EGA_A+B': 0.9292810003473428, 'R_EGA_A': 0.7247655435915249, 'R_EGA_B': 0.204515456755818, 'R_EGA_uC': 0.027787426189649182, 'R_EGA_lC': 0.01979854116012504, 'R_EGA_uD': 0.00472386245224036, 'R_EGA_lD': 0.005626953803403959, 'R_EGA_uE': 0.006530045154567558, 'R_EGA_lE': 0.006252170892671066}, {'RMSE': 0.7523747651979428, 'MAPE': 0.16859278273991227, 'MASE': 0.03314309805092493, 'TG': 2.0, 'CG_EGA_AP': 0.00432717235217714, 'CG_EGA_BE': 0.004206148107876514, 'CG_EGA_EP': 0.0007152226565465091, 'CG_EGA_AP_hypo': 0.01962006254710208, 'CG_EGA_BE_hypo': 0.010169491525423732, 'CG_EGA_EP_hypo': 0.017284811910484015, 'CG_EGA_AP_eu': 0.002866067959107022, 'CG_EGA_BE_eu': 0.004013619300917972, 'CG_EGA_EP_eu': 0.0012640237334372558, 'CG_EGA_AP_hyper': 0.00896990019627421, 'CG_EGA_BE_hyper': 0.0066337174228024215, 'CG_EGA_EP_hyper': 0.0026571972766463335, 'P_EGA_A+B': 0.0008101357269670511, 'P_EGA_A': 0.004790813379525296, 'P_EGA_B': 0.004716705855301967, 'P_EGA_C': 0.0, 'P_EGA_D': 0.0008101357269670441, 'P_EGA_E': 0.0, 'R_EGA_A+B': 0.0038964372802723626, 'R_EGA_A': 0.008744765271853186, 'R_EGA_B': 0.009981257411969051, 'R_EGA_uC': 0.0023144607501156904, 'R_EGA_lC': 0.0024560846863027003, 'R_EGA_uD': 0.000779782713464524, 'R_EGA_lD': 0.0007084431418677021, 'R_EGA_uE': 0.0009675851529825715, 'R_EGA_lE': 0.0003804950034770169})
