model,experiment,ph,patient,metric,calculation,0
ar,DEC_8_2023,30,ohio_563,CG_EGA_AP_hyper,std,0.0237881897106561
ar,DEC_8_2023,30,ohio_563,CG_EGA_AP_hypo,mean,0.4444444444444445
ar,DEC_8_2023,30,ohio_563,CG_EGA_AP_hypo,std,5.551115123125783e-17
ar,DEC_8_2023,30,ohio_563,CG_EGA_BE,mean,0.1363990646921278
ar,DEC_8_2023,30,ohio_563,CG_EGA_BE,std,0.0171862379661611
ar,DEC_8_2023,30,ohio_563,CG_EGA_BE_eu,mean,0.121520618556701
ar,DEC_8_2023,30,ohio_563,CG_EGA_BE_eu,std,0.0141670547961977
ar,DEC_8_2023,30,ohio_563,CG_EGA_BE_hyper,mean,0.1618473895582329
ar,DEC_8_2023,30,ohio_563,CG_EGA_BE_hyper,std,0.0218072658959651
ar,DEC_8_2023,30,ohio_563,CG_EGA_BE_hypo,mean,0.0111111111111111
ar,DEC_8_2023,30,ohio_563,CG_EGA_BE_hypo,std,0.0222222222222222
ar,DEC_8_2023,30,ohio_563,CG_EGA_EP,mean,0.0383476227591582
ar,DEC_8_2023,30,ohio_563,CG_EGA_EP,std,0.0014911244325572
ar,DEC_8_2023,30,ohio_563,CG_EGA_EP_eu,mean,0.0319587628865979
ar,DEC_8_2023,30,ohio_563,CG_EGA_EP_eu,std,0.0014465170309693
ar,DEC_8_2023,30,ohio_563,CG_EGA_EP_hyper,mean,0.0391566265060241
ar,DEC_8_2023,30,ohio_563,CG_EGA_EP_hyper,std,0.002008032128514
ar,DEC_8_2023,30,ohio_563,CG_EGA_EP_hypo,mean,0.5444444444444445
ar,DEC_8_2023,30,ohio_563,CG_EGA_EP_hypo,std,0.0222222222222222
ar,DEC_8_2023,30,ohio_563,MAPE,mean,8.345617685865843
ar,DEC_8_2023,30,ohio_563,MAPE,std,0.0247397742364533
ar,DEC_8_2023,30,ohio_563,MASE,mean,0.8594461379065693
ar,DEC_8_2023,30,ohio_563,MASE,std,0.0030443278377319
ar,DEC_8_2023,30,ohio_563,P_EGA_A,mean,0.9526110678098209
ar,DEC_8_2023,30,ohio_563,P_EGA_A,std,0.00136343380238
ar,DEC_8_2023,30,ohio_563,P_EGA_A+B,mean,0.995323460639127
ar,DEC_8_2023,30,ohio_563,P_EGA_A+B,std,0.0
ar,DEC_8_2023,30,ohio_563,P_EGA_B,mean,0.0427123928293063
ar,DEC_8_2023,30,ohio_563,P_EGA_B,std,0.00136343380238
ar,DEC_8_2023,30,ohio_563,P_EGA_C,mean,7.79423226812159e-05
ar,DEC_8_2023,30,ohio_563,P_EGA_C,std,0.0001558846453624
ar,DEC_8_2023,30,ohio_563,P_EGA_D,mean,0.0045985970381917
ar,DEC_8_2023,30,ohio_563,P_EGA_D,std,0.0001558846453624
ar,DEC_8_2023,30,ohio_563,P_EGA_E,mean,0.0
ar,DEC_8_2023,30,ohio_563,P_EGA_E,std,0.0
ar,DEC_8_2023,30,ohio_563,RMSE,mean,18.8179247765482
ar,DEC_8_2023,30,ohio_563,RMSE,std,0.1980085220994392
ar,DEC_8_2023,30,ohio_563,R_EGA_A,mean,0.5675759937646141
ar,DEC_8_2023,30,ohio_563,R_EGA_A,std,0.0182634679357275
ar,DEC_8_2023,30,ohio_563,R_EGA_A+B,mean,0.8294621979734996
ar,DEC_8_2023,30,ohio_563,R_EGA_A+B,std,0.019211794402899
ar,DEC_8_2023,30,ohio_563,R_EGA_B,mean,0.2618862042088854
ar,DEC_8_2023,30,ohio_563,R_EGA_B,std,0.0019563367728778
ar,DEC_8_2023,30,ohio_563,R_EGA_lC,mean,0.0504286827747466
ar,DEC_8_2023,30,ohio_563,R_EGA_lC,std,0.0091415413321251
ar,DEC_8_2023,30,ohio_563,R_EGA_lD,mean,0.015900233826968
ar,DEC_8_2023,30,ohio_563,R_EGA_lD,std,0.0007948588485725
ar,DEC_8_2023,30,ohio_563,R_EGA_lE,mean,0.0161340607950116
ar,DEC_8_2023,30,ohio_563,R_EGA_lE,std,0.00129487511503
ar,DEC_8_2023,30,ohio_563,R_EGA_uC,mean,0.0580670303975058
ar,DEC_8_2023,30,ohio_563,R_EGA_uC,std,0.0081635048933912
ar,DEC_8_2023,30,ohio_563,R_EGA_uD,mean,0.0123928293063133
ar,DEC_8_2023,30,ohio_563,R_EGA_uD,std,0.0010281298486572
ar,DEC_8_2023,30,ohio_563,R_EGA_uE,mean,0.0176149649259547
ar,DEC_8_2023,30,ohio_563,R_EGA_uE,std,0.0003818378398726
ar,DEC_8_2023,30,ohio_563,TG,mean,5.0
ar,DEC_8_2023,30,ohio_563,TG,std,0.0
ar,DEC_8_2023,30,ohio_570,CG_EGA_AP,mean,0.8778062157221207
ar,DEC_8_2023,30,ohio_570,CG_EGA_AP,std,0.008767211533602
ar,DEC_8_2023,30,ohio_570,CG_EGA_AP_eu,mean,0.9427783398371634
ar,DEC_8_2023,30,ohio_570,CG_EGA_AP_eu,std,0.0046543853143315
ar,DEC_8_2023,30,ohio_570,CG_EGA_AP_hyper,mean,0.8539267015706805
ar,DEC_8_2023,30,ohio_570,CG_EGA_AP_hyper,std,0.0107705892109937
ar,DEC_8_2023,30,ohio_570,CG_EGA_AP_hypo,mean,0.1818181818181818
ar,DEC_8_2023,30,ohio_570,CG_EGA_AP_hypo,std,0.0995859195463938
ar,DEC_8_2023,30,ohio_570,CG_EGA_BE,mean,0.1009872029250457
ar,DEC_8_2023,30,ohio_570,CG_EGA_BE,std,0.007625482510408
ar,DEC_8_2023,30,ohio_570,CG_EGA_BE_eu,mean,0.051819265789854
ar,DEC_8_2023,30,ohio_570,CG_EGA_BE_eu,std,0.0045775173838301
ar,DEC_8_2023,30,ohio_570,CG_EGA_BE_hyper,mean,0.1219895287958115
ar,DEC_8_2023,30,ohio_570,CG_EGA_BE_hyper,std,0.0090015821153245
ar,DEC_8_2023,30,ohio_570,CG_EGA_BE_hypo,mean,0.0949494949494949
ar,DEC_8_2023,30,ohio_570,CG_EGA_BE_hypo,std,0.008080808080808
ar,DEC_8_2023,30,ohio_570,CG_EGA_EP,mean,0.0212065813528336
ar,DEC_8_2023,30,ohio_570,CG_EGA_EP,std,0.0013483794453079
ar,DEC_8_2023,30,ohio_570,CG_EGA_EP_eu,mean,0.0054023943729826
ar,DEC_8_2023,30,ohio_570,CG_EGA_EP_eu,std,0.0009805586003003
ar,DEC_8_2023,30,ohio_570,CG_EGA_EP_hyper,mean,0.0240837696335078
ar,DEC_8_2023,30,ohio_570,CG_EGA_EP_hyper,std,0.001873145949738
ar,DEC_8_2023,30,ohio_570,CG_EGA_EP_hypo,mean,0.7232323232323232
ar,DEC_8_2023,30,ohio_570,CG_EGA_EP_hypo,std,0.0922681797710645
ar,DEC_8_2023,30,ohio_570,MAPE,mean,6.312025825356627
ar,DEC_8_2023,30,ohio_570,MAPE,std,0.1106588498026132
ar,DEC_8_2023,30,ohio_570,MASE,mean,0.8929478246835766
ar,DEC_8_2023,30,ohio_570,MASE,std,0.012946965286135
ar,DEC_8_2023,30,ohio_570,P_EGA_A,mean,0.9681170018281536
