2023-12-14 20:50:46 t1dms 10 gp gp DEC_8_2023 test None 120 1
2023-12-14 20:50:47 {'hist': 180, 'alpha': 0.001, 'sigma_0': 1.0} [0.8257998861235091]
2023-12-14 20:50:48 {'hist': 180, 'alpha': 0.01, 'sigma_0': 1.0} [0.825769356450603]
2023-12-14 20:50:48 {'hist': 180, 'alpha': 0.1, 'sigma_0': 1.0} [0.8257279263568739]
2023-12-14 20:50:48 {'hist': 180, 'alpha': 1.0, 'sigma_0': 1.0} [0.826255719737891]
2023-12-14 20:50:49 {'hist': 180, 'alpha': 10.0, 'sigma_0': 1.0} [0.8271576994080336]
2023-12-14 20:50:49 {'hist': 180, 'alpha': 100.0, 'sigma_0': 1.0} [0.8280175722149306]
2023-12-14 20:50:50 {'hist': 180, 'alpha': 0.0316227766016838, 'sigma_0': 1.0} [0.8257305533437305]
2023-12-14 20:50:50 {'hist': 180, 'alpha': 0.1, 'sigma_0': 1.0} [0.8257279263568739]
2023-12-14 20:50:51 {'hist': 180, 'alpha': 0.316227766016838, 'sigma_0': 1.0} [0.8258871016129599]
2023-12-14 20:50:51 {'hist': 180, 'alpha': 1.0000000000000002, 'sigma_0': 1.0} [0.826255719737869]
2023-12-14 20:50:54 ({'RMSE': 23.928739208962185, 'MAPE': 14.144558927139006, 'MASE': 0.6223157372366985, 'TG': 45.0, 'CG_EGA_AP': 0.9319902744008335, 'CG_EGA_BE': 0.035845779784647445, 'CG_EGA_EP': 0.03216394581451894, 'CG_EGA_AP_hypo': 0.14705882352941177, 'CG_EGA_BE_hypo': 0.0, 'CG_EGA_EP_hypo': 0.8529411764705884, 'CG_EGA_AP_eu': 0.9631837042625424, 'CG_EGA_BE_eu': 0.03508110147114297, 'CG_EGA_EP_eu': 0.0017351942663145984, 'CG_EGA_AP_hyper': 0.9111111111111111, 'CG_EGA_BE_hyper': 0.08095238095238096, 'CG_EGA_EP_hyper': 0.007936507936507936, 'P_EGA_A+B': 0.9697811740187564, 'P_EGA_A': 0.7617228204237583, 'P_EGA_B': 0.20805835359499825, 'P_EGA_C': 0.0, 'P_EGA_D': 0.030218825981243487, 'P_EGA_E': 0.0, 'R_EGA_A+B': 0.9611670718999653, 'R_EGA_A': 0.81465786731504, 'R_EGA_B': 0.1465092045849253, 'R_EGA_uC': 0.018131295588746092, 'R_EGA_lC': 0.0022229940951719344, 'R_EGA_uD': 0.0009725599166377214, 'R_EGA_lD': 0.015560958666203542, 'R_EGA_uE': 0.0006946856547412296, 'R_EGA_lE': 0.0012504341785342132}, {'RMSE': 0.05415880500496356, 'MAPE': 0.05187950406066827, 'MASE': 0.0019518749701717055, 'TG': 0.0, 'CG_EGA_AP': 0.0014963986959734517, 'CG_EGA_BE': 0.0011707050744253374, 'CG_EGA_EP': 0.000354221570933851, 'CG_EGA_AP_hypo': 0.013864838846795048, 'CG_EGA_BE_hypo': 0.0, 'CG_EGA_EP_hypo': 0.013864838846795048, 'CG_EGA_AP_eu': 0.0014628984858291439, 'CG_EGA_BE_eu': 0.0010399131461403422, 'CG_EGA_EP_eu': 0.0005116808738683719, 'CG_EGA_AP_hyper': 0.009255479198167152, 'CG_EGA_BE_hyper': 0.009255479198167143, 'CG_EGA_EP_hyper': 0.0, 'P_EGA_A+B': 0.0004912169372605353, 'P_EGA_A': 0.002436356778985801, 'P_EGA_B': 0.0025806426705115206, 'P_EGA_C': 0.0, 'P_EGA_D': 0.0004912169372605403, 'P_EGA_E': 0.0, 'R_EGA_A+B': 0.0015124377253961211, 'R_EGA_A': 0.008233124121471199, 'R_EGA_B': 0.0070721592734279545, 'R_EGA_uC': 0.0013434581178057461, 'R_EGA_lC': 0.00047115873449984496, 'R_EGA_uD': 0.00034032507714945164, 'R_EGA_lD': 0.0005975911960432527, 'R_EGA_uE': 0.0, 'R_EGA_lE': 0.00047115873449984496})
