2023-12-14 20:56:50 ohio 559 gp gp DEC_8_2023 test None 120 1
2023-12-14 20:56:58 {'hist': 180, 'alpha': 0.001, 'sigma_0': 1.0} [0.9558670723375009]
2023-12-14 20:57:00 {'hist': 180, 'alpha': 0.01, 'sigma_0': 1.0} [0.9558645299093581]
2023-12-14 20:57:01 {'hist': 180, 'alpha': 0.1, 'sigma_0': 1.0} [0.9558401743373932]
2023-12-14 20:57:03 {'hist': 180, 'alpha': 1.0, 'sigma_0': 1.0} [0.9556706522762233]
2023-12-14 20:57:05 {'hist': 180, 'alpha': 10.0, 'sigma_0': 1.0} [0.9553800781811708]
2023-12-14 20:57:07 {'hist': 180, 'alpha': 100.0, 'sigma_0': 1.0} [0.9566165458560643]
2023-12-14 20:57:09 {'hist': 180, 'alpha': 3.1622776601683795, 'sigma_0': 1.0} [0.955496491851288]
2023-12-14 20:57:11 {'hist': 180, 'alpha': 10.0, 'sigma_0': 1.0} [0.9553800781811708]
2023-12-14 20:57:12 {'hist': 180, 'alpha': 31.622776601683796, 'sigma_0': 1.0} [0.9555357172387806]
2023-12-14 20:57:14 {'hist': 180, 'alpha': 100.00000000000001, 'sigma_0': 1.0} [0.9566165458560634]
2023-12-14 20:57:24 ({'RMSE': 52.327370569141735, 'MAPE': 28.20607674250227, 'MASE': 0.8323290907584656, 'TG': 53.0, 'CG_EGA_AP': 0.833972821742606, 'CG_EGA_BE': 0.09248601119104716, 'CG_EGA_EP': 0.07354116706634692, 'CG_EGA_AP_hypo': 0.0, 'CG_EGA_BE_hypo': 0.0, 'CG_EGA_EP_hypo': 1.0, 'CG_EGA_AP_eu': 0.9042291950886767, 'CG_EGA_BE_eu': 0.06643929058663028, 'CG_EGA_EP_eu': 0.029331514324693043, 'CG_EGA_AP_hyper': 0.7902388369678089, 'CG_EGA_BE_hyper': 0.1391484942886812, 'CG_EGA_EP_hyper': 0.07061266874350987, 'P_EGA_A+B': 0.9510791366906475, 'P_EGA_A': 0.5549160671462829, 'P_EGA_B': 0.3961630695443645, 'P_EGA_C': 0.0038369304556354913, 'P_EGA_D': 0.04476418864908074, 'P_EGA_E': 0.00031974420463629094, 'R_EGA_A+B': 0.8778577138289367, 'R_EGA_A': 0.6695443645083933, 'R_EGA_B': 0.20831334932054357, 'R_EGA_uC': 0.029736211031175058, 'R_EGA_lC': 0.022062350119904074, 'R_EGA_uD': 0.019664268585131893, 'R_EGA_lD': 0.02501998401278977, 'R_EGA_uE': 0.01662669864108713, 'R_EGA_lE': 0.00903277378097522}, {'RMSE': 0.4261740748920112, 'MAPE': 0.42237472809967624, 'MASE': 0.009122644284695313, 'TG': 2.449489742783178, 'CG_EGA_AP': 0.007089566186616087, 'CG_EGA_BE': 0.004447778654914006, 'CG_EGA_EP': 0.0031673241816401166, 'CG_EGA_AP_hypo': 0.0, 'CG_EGA_BE_hypo': 0.0, 'CG_EGA_EP_hypo': 0.0, 'CG_EGA_AP_eu': 0.007303551876848128, 'CG_EGA_BE_eu': 0.004949074255720885, 'CG_EGA_EP_eu': 0.003285564687255743, 'CG_EGA_AP_hyper': 0.00868805842714513, 'CG_EGA_BE_hyper': 0.0045501354725247444, 'CG_EGA_EP_hyper': 0.0054554207836193976, 'P_EGA_A+B': 0.0017802603877953777, 'P_EGA_A': 0.0068278677870703824, 'P_EGA_B': 0.007547080896512979, 'P_EGA_C': 0.0008972799488666526, 'P_EGA_D': 0.0022609329534342038, 'P_EGA_E': 0.0002990933162888842, 'R_EGA_A+B': 0.00797199316646809, 'R_EGA_A': 0.010315777598721449, 'R_EGA_B': 0.0036666170875075043, 'R_EGA_uC': 0.0038882131117554944, 'R_EGA_lC': 0.0033951655606067627, 'R_EGA_uD': 0.0014164704353852404, 'R_EGA_lD': 0.0013752718252666063, 'R_EGA_uE': 0.0016106668009280476, 'R_EGA_lE': 0.001630381938798652})
