2023-12-14 21:04:20 ohio 575 gp gp DEC_8_2023 test None 120 1
2023-12-14 21:04:29 {'hist': 180, 'alpha': 0.001, 'sigma_0': 1.0} [0.8603014768675885]
2023-12-14 21:04:32 {'hist': 180, 'alpha': 0.01, 'sigma_0': 1.0} [0.8603031547841182]
2023-12-14 21:04:35 {'hist': 180, 'alpha': 0.1, 'sigma_0': 1.0} [0.860319924810064]
2023-12-14 21:04:38 {'hist': 180, 'alpha': 1.0, 'sigma_0': 1.0} [0.8604862429127813]
2023-12-14 21:04:41 {'hist': 180, 'alpha': 10.0, 'sigma_0': 1.0} [0.8617848342835337]
2023-12-14 21:04:44 {'hist': 180, 'alpha': 100.0, 'sigma_0': 1.0} [0.8669547902871583]
2023-12-14 21:04:47 {'hist': 180, 'alpha': 0.00031622776601683794, 'sigma_0': 1.0} [0.8603013458091218]
2023-12-14 21:04:50 {'hist': 180, 'alpha': 0.001, 'sigma_0': 1.0} [0.8603014768675885]
2023-12-14 21:04:53 {'hist': 180, 'alpha': 0.0031622776601683794, 'sigma_0': 1.0} [0.8603018808707376]
2023-12-14 21:04:55 {'hist': 180, 'alpha': 0.010000000000000002, 'sigma_0': 1.0} [0.8603031547841182]
2023-12-14 21:05:10 ({'RMSE': 52.32184791734748, 'MAPE': 32.22794901868362, 'MASE': 0.9848810738664531, 'TG': 35.0, 'CG_EGA_AP': 0.7298953082590152, 'CG_EGA_BE': 0.1325319891430787, 'CG_EGA_EP': 0.13757270259790616, 'CG_EGA_AP_hypo': 0.0776978417266187, 'CG_EGA_BE_hypo': 0.020143884892086333, 'CG_EGA_EP_hypo': 0.9021582733812951, 'CG_EGA_AP_eu': 0.8285191956124315, 'CG_EGA_BE_eu': 0.12809262644728822, 'CG_EGA_EP_eu': 0.04338817794028031, 'CG_EGA_AP_hyper': 0.6408010012515645, 'CG_EGA_BE_hyper': 0.1612015018773467, 'CG_EGA_EP_hyper': 0.19799749687108886, 'P_EGA_A+B': 0.9067080263668089, 'P_EGA_A': 0.441178751454052, 'P_EGA_B': 0.4655292749127569, 'P_EGA_C': 0.00031019775106630476, 'P_EGA_D': 0.0921287320666925, 'P_EGA_E': 0.000853043815432338, 'R_EGA_A+B': 0.8059713067080263, 'R_EGA_A': 0.5772004652966266, 'R_EGA_B': 0.22877084141139975, 'R_EGA_uC': 0.04839084916634354, 'R_EGA_lC': 0.039395114385420704, 'R_EGA_uD': 0.02753005040713455, 'R_EGA_lD': 0.02861574253586661, 'R_EGA_uE': 0.02923613803799922, 'R_EGA_lE': 0.020860798759208994}, {'RMSE': 0.45037229733709383, 'MAPE': 0.5018504534737025, 'MASE': 0.009353554471274329, 'TG': 12.24744871391589, 'CG_EGA_AP': 0.002308317342557142, 'CG_EGA_BE': 0.0041574021415060735, 'CG_EGA_EP': 0.004464315770337107, 'CG_EGA_AP_hypo': 0.009544244001022734, 'CG_EGA_BE_hypo': 0.010573337019207964, 'CG_EGA_EP_hypo': 0.014097782692277306, 'CG_EGA_AP_eu': 0.005136211457819741, 'CG_EGA_BE_eu': 0.003603106763947464, 'CG_EGA_EP_eu': 0.0016076667834580022, 'CG_EGA_AP_hyper': 0.011820494571331738, 'CG_EGA_BE_hyper': 0.004775665589071063, 'CG_EGA_EP_hyper': 0.015316203795522763, 'P_EGA_A+B': 0.006283897504422783, 'P_EGA_A': 0.004757770190051327, 'P_EGA_B': 0.006355269871592985, 'P_EGA_C': 0.00029016342665947584, 'P_EGA_D': 0.006491031549543726, 'P_EGA_E': 0.0001550988755331524, 'R_EGA_A+B': 0.0058579348485525515, 'R_EGA_A': 0.007497069585797246, 'R_EGA_B': 0.002629829384693785, 'R_EGA_uC': 0.002713122246535231, 'R_EGA_lC': 0.0034472447880407706, 'R_EGA_uD': 0.0016812317478618688, 'R_EGA_lD': 0.0011606537066379038, 'R_EGA_uE': 0.0010288095510989999, 'R_EGA_lE': 0.0008976996434889673})
