2023-12-11 00:46:59 ohio 588 svr svr DEC_8_2023 test None 30 1
2023-12-11 00:52:15 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.0316227766016838, 'gamma': 0.0031622776601683794} [0.4700367870682836]
2023-12-11 00:52:17 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 0.00031622776601683794} [0.4863004057492623]
2023-12-11 00:52:20 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 0.001} [0.47964975639205065]
2023-12-11 00:52:23 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 0.0031622776601683794} [0.4691517671303821]
2023-12-11 00:52:24 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.316227766016838, 'gamma': 0.00031622776601683794} [0.483269355722391]
2023-12-11 00:52:25 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.316227766016838, 'gamma': 0.001} [0.47543832111169776]
2023-12-11 00:52:27 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.316227766016838, 'gamma': 0.0031622776601683794} [0.4671782299211064]
2023-12-11 00:52:31 {'hist': 180, 'kernel': 'rbf', 'C': 56.234132519034915, 'epsilon': 0.0316227766016838, 'gamma': 0.00031622776601683794} [0.48865903301735186]
2023-12-11 00:52:37 {'hist': 180, 'kernel': 'rbf', 'C': 56.234132519034915, 'epsilon': 0.0316227766016838, 'gamma': 0.001} [0.48848743653788335]
2023-12-11 00:52:48 {'hist': 180, 'kernel': 'rbf', 'C': 56.234132519034915, 'epsilon': 0.0316227766016838, 'gamma': 0.0031622776601683794} [0.5473970874572273]
2023-12-11 00:52:52 {'hist': 180, 'kernel': 'rbf', 'C': 56.234132519034915, 'epsilon': 0.1, 'gamma': 0.00031622776601683794} [0.48714929589263484]
2023-12-11 00:52:57 {'hist': 180, 'kernel': 'rbf', 'C': 56.234132519034915, 'epsilon': 0.1, 'gamma': 0.001} [0.4856175275764717]
2023-12-11 00:53:05 {'hist': 180, 'kernel': 'rbf', 'C': 56.234132519034915, 'epsilon': 0.1, 'gamma': 0.0031622776601683794} [0.5355893936805909]
2023-12-11 00:53:07 {'hist': 180, 'kernel': 'rbf', 'C': 56.234132519034915, 'epsilon': 0.316227766016838, 'gamma': 0.00031622776601683794} [0.4800936943766989]
2023-12-11 00:53:09 {'hist': 180, 'kernel': 'rbf', 'C': 56.234132519034915, 'epsilon': 0.316227766016838, 'gamma': 0.001} [0.48105051909142404]
2023-12-11 00:53:13 {'hist': 180, 'kernel': 'rbf', 'C': 56.234132519034915, 'epsilon': 0.316227766016838, 'gamma': 0.0031622776601683794} [0.5134514997692516]
2023-12-11 00:53:20 ({'RMSE': 22.13212266445229, 'MAPE': 8.850722201905523, 'MASE': 0.944149743818774, 'TG': 5.0, 'CG_EGA_AP': 0.8708751793400287, 'CG_EGA_BE': 0.10107604017216643, 'CG_EGA_EP': 0.028048780487804882, 'CG_EGA_AP_hypo': 0.1, 'CG_EGA_BE_hypo': 0.0, 'CG_EGA_EP_hypo': 0.9, 'CG_EGA_AP_eu': 0.8898416886543536, 'CG_EGA_BE_eu': 0.08548812664907653, 'CG_EGA_EP_eu': 0.02467018469656992, 'CG_EGA_AP_hyper': 0.8506309148264984, 'CG_EGA_BE_hyper': 0.12003154574132494, 'CG_EGA_EP_hyper': 0.02933753943217666, 'P_EGA_A+B': 0.9984935437589669, 'P_EGA_A': 0.931348637015782, 'P_EGA_B': 0.06714490674318509, 'P_EGA_C': 0.0, 'P_EGA_D': 0.0015064562410329984, 'P_EGA_E': 0.0, 'R_EGA_A+B': 0.8723816355810616, 'R_EGA_A': 0.6284074605451937, 'R_EGA_B': 0.243974175035868, 'R_EGA_uC': 0.04110473457675753, 'R_EGA_lC': 0.022094691535150646, 'R_EGA_uD': 0.010114777618364417, 'R_EGA_lD': 0.027761836441893832, 'R_EGA_uE': 0.011406025824964134, 'R_EGA_lE': 0.015136298421807748}, {'RMSE': 0.34264721309533136, 'MAPE': 0.07770882948386636, 'MASE': 0.01001735497636846, 'TG': 0.0, 'CG_EGA_AP': 0.003968240082048597, 'CG_EGA_BE': 0.005084661448111723, 'CG_EGA_EP': 0.0022843161159384006, 'CG_EGA_AP_hypo': 0.2, 'CG_EGA_BE_hypo': 0.0, 'CG_EGA_EP_hypo': 0.2, 'CG_EGA_AP_eu': 0.0033113193662298373, 'CG_EGA_BE_eu': 0.004347561227779443, 'CG_EGA_EP_eu': 0.002908365129953641, 'CG_EGA_AP_hyper': 0.006533853368204395, 'CG_EGA_BE_hyper': 0.007060892519116525, 'CG_EGA_EP_hyper': 0.0029254317020491177, 'P_EGA_A+B': 0.0005738880918221056, 'P_EGA_A': 0.005596328512149835, 'P_EGA_B': 0.005084661448111723, 'P_EGA_C': 0.0, 'P_EGA_D': 0.0005738880918220946, 'P_EGA_E': 0.0, 'R_EGA_A+B': 0.004228167009552773, 'R_EGA_A': 0.009054096399410003, 'R_EGA_B': 0.008558560144587798, 'R_EGA_uC': 0.003228917484914463, 'R_EGA_lC': 0.0014806145940136513, 'R_EGA_uD': 0.0011432838917151528, 'R_EGA_lD': 0.001372390708013557, 'R_EGA_uE': 0.001143283891715153, 'R_EGA_lE': 0.0016263678692617833})
