2023-12-14 14:02:23 t1dms 10 svr svr DEC_8_2023 test None 30 1
2023-12-14 14:03:05 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.0316227766016838, 'gamma': 3.1622776601683795e-05} [0.2855539070720842]
2023-12-14 14:03:06 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 3.1622776601683796e-06} [0.3071488030575507]
2023-12-14 14:03:06 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 1e-05} [0.295377352663769]
2023-12-14 14:03:07 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 3.1622776601683795e-05} [0.2848223920595927]
2023-12-14 14:03:07 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.316227766016838, 'gamma': 3.1622776601683796e-06} [0.3131972272402056]
2023-12-14 14:03:08 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.316227766016838, 'gamma': 1e-05} [0.30006963469798065]
2023-12-14 14:03:08 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.316227766016838, 'gamma': 3.1622776601683795e-05} [0.29095079271141655]
2023-12-14 14:03:09 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.0316227766016838, 'gamma': 3.1622776601683796e-06} [0.2834885368478883]
2023-12-14 14:03:11 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.0316227766016838, 'gamma': 1e-05} [0.27615856371710173]
2023-12-14 14:03:17 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.0316227766016838, 'gamma': 3.1622776601683795e-05} [0.30806474580905663]
2023-12-14 14:03:18 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.1, 'gamma': 3.1622776601683796e-06} [0.2832961718979847]
2023-12-14 14:03:19 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.1, 'gamma': 1e-05} [0.2767952340275137]
2023-12-14 14:03:23 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.1, 'gamma': 3.1622776601683795e-05} [0.3103982162316356]
2023-12-14 14:03:24 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.316227766016838, 'gamma': 3.1622776601683796e-06} [0.2888292754682354]
2023-12-14 14:03:25 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.316227766016838, 'gamma': 1e-05} [0.2820283892023005]
2023-12-14 14:03:26 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.316227766016838, 'gamma': 3.1622776601683795e-05} [0.3037613189225676]
2023-12-14 14:03:39 ({'RMSE': 9.455466181057378, 'MAPE': 6.439400717050742, 'MASE': 0.6403985082050859, 'TG': 20.0, 'CG_EGA_AP': 0.9769364362625911, 'CG_EGA_BE': 0.015560958666203542, 'CG_EGA_EP': 0.00750260507120528, 'CG_EGA_AP_hypo': 0.8627450980392156, 'CG_EGA_BE_hypo': 0.0392156862745098, 'CG_EGA_EP_hypo': 0.09803921568627452, 'CG_EGA_AP_eu': 0.9815164089023009, 'CG_EGA_BE_eu': 0.014107883817427386, 'CG_EGA_EP_eu': 0.004375707280271595, 'CG_EGA_AP_hyper': 0.9730158730158731, 'CG_EGA_BE_hyper': 0.026984126984126982, 'CG_EGA_EP_hyper': 0.0, 'P_EGA_A+B': 0.9965265717262939, 'P_EGA_A': 0.9873567210837096, 'P_EGA_B': 0.00916985064258423, 'P_EGA_C': 0.0, 'P_EGA_D': 0.0034734282737061478, 'P_EGA_E': 0.0, 'R_EGA_A+B': 0.9804098645362973, 'R_EGA_A': 0.802848211184439, 'R_EGA_B': 0.1775616533518583, 'R_EGA_uC': 0.0060437651962486965, 'R_EGA_lC': 0.004445988190343869, 'R_EGA_uD': 0.0025008683570684263, 'R_EGA_lD': 0.0018756512678013196, 'R_EGA_uE': 0.0022924626606460573, 'R_EGA_lE': 0.0024313997915943034}, {'RMSE': 0.08715760936732334, 'MAPE': 0.04920975176972838, 'MASE': 0.006437878136648035, 'TG': 0.0, 'CG_EGA_AP': 0.0009970614862387821, 'CG_EGA_BE': 0.00040506786348352134, 'CG_EGA_EP': 0.0009474249181650473, 'CG_EGA_AP_hypo': 0.01860163329510813, 'CG_EGA_BE_hypo': 0.0, 'CG_EGA_EP_hypo': 0.01860163329510811, 'CG_EGA_AP_eu': 0.0011190039211007978, 'CG_EGA_BE_eu': 0.0007767355821189742, 'CG_EGA_EP_eu': 0.0005116808738683717, 'CG_EGA_AP_hyper': 0.010765603147817887, 'CG_EGA_BE_hyper': 0.010765603147817887, 'CG_EGA_EP_hyper': 0.0, 'P_EGA_A+B': 0.0006590366780482884, 'P_EGA_A': 0.001020975231448331, 'P_EGA_B': 0.00047115873449984506, 'P_EGA_C': 0.0, 'P_EGA_D': 0.0006590366780482901, 'P_EGA_E': 0.0, 'R_EGA_A+B': 0.0006442249736363933, 'R_EGA_A': 0.005154736077551677, 'R_EGA_B': 0.004562768148293999, 'R_EGA_uC': 0.0009725599166377215, 'R_EGA_lC': 0.000460802332803807, 'R_EGA_uD': 0.0004608023328038068, 'R_EGA_lD': 0.00027787426189649186, 'R_EGA_uE': 0.00047115873449984496, 'R_EGA_lE': 0.0})
