2023-11-09 07:20:08 ohio 591 svr svr NOV_3_2023 test None 60 1
2023-11-09 07:20:20 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.001, 'gamma': 1e-05} [0.9298781055958821]
2023-11-09 07:24:12 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.0316227766016838, 'gamma': 0.0031622776601683794} [0.6813243330340851]
2023-11-09 07:24:16 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 0.00031622776601683794} [0.6891087196033263]
2023-11-09 07:24:19 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 0.001} [0.6869353460860725]
2023-11-09 07:24:22 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 0.0031622776601683794} [0.6762797017671792]
2023-11-09 07:24:25 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.316227766016838, 'gamma': 0.00031622776601683794} [0.6860186989149271]
2023-11-09 07:24:27 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.316227766016838, 'gamma': 0.001} [0.6834047693311164]
2023-11-09 07:24:29 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.316227766016838, 'gamma': 0.0031622776601683794} [0.6738538544531942]
2023-11-09 07:24:33 {'hist': 180, 'kernel': 'rbf', 'C': 56.234132519034915, 'epsilon': 0.0316227766016838, 'gamma': 0.00031622776601683794} [0.707738993988073]
2023-11-09 07:24:39 {'hist': 180, 'kernel': 'rbf', 'C': 56.234132519034915, 'epsilon': 0.0316227766016838, 'gamma': 0.001} [0.7115005322532694]
2023-11-09 07:24:46 {'hist': 180, 'kernel': 'rbf', 'C': 56.234132519034915, 'epsilon': 0.0316227766016838, 'gamma': 0.0031622776601683794} [0.7490977097185804]
2023-11-09 07:24:50 {'hist': 180, 'kernel': 'rbf', 'C': 56.234132519034915, 'epsilon': 0.1, 'gamma': 0.00031622776601683794} [0.7055535198027654]
2023-11-09 07:24:55 {'hist': 180, 'kernel': 'rbf', 'C': 56.234132519034915, 'epsilon': 0.1, 'gamma': 0.001} [0.7080480812176522]
2023-11-09 07:25:01 {'hist': 180, 'kernel': 'rbf', 'C': 56.234132519034915, 'epsilon': 0.1, 'gamma': 0.0031622776601683794} [0.7336773648398784]
2023-11-09 07:25:04 {'hist': 180, 'kernel': 'rbf', 'C': 56.234132519034915, 'epsilon': 0.316227766016838, 'gamma': 0.00031622776601683794} [0.6982849285689707]
2023-11-09 07:25:07 {'hist': 180, 'kernel': 'rbf', 'C': 56.234132519034915, 'epsilon': 0.316227766016838, 'gamma': 0.001} [0.6973866014108726]
2023-11-09 07:25:12 {'hist': 180, 'kernel': 'rbf', 'C': 56.234132519034915, 'epsilon': 0.316227766016838, 'gamma': 0.0031622776601683794} [0.716066162404498]
2023-11-09 07:25:29 ({'RMSE': 36.783978716809955, 'MAPE': 23.331034348115715, 'MASE': 0.9494715154229969, 'TG': 0.0, 'CG_EGA_AP': 0.7991288566243194, 'CG_EGA_BE': 0.11143375680580762, 'CG_EGA_EP': 0.08943738656987296, 'CG_EGA_AP_hypo': 0.028169014084507043, 'CG_EGA_BE_hypo': 0.014084507042253521, 'CG_EGA_EP_hypo': 0.9577464788732394, 'CG_EGA_AP_eu': 0.8474393530997304, 'CG_EGA_BE_eu': 0.11309973045822101, 'CG_EGA_EP_eu': 0.039460916442048515, 'CG_EGA_AP_hyper': 0.8253298153034301, 'CG_EGA_BE_hyper': 0.12559366754617413, 'CG_EGA_EP_hyper': 0.04907651715039578, 'P_EGA_A+B': 0.9443920145190562, 'P_EGA_A': 0.6518330308529945, 'P_EGA_B': 0.2925589836660617, 'P_EGA_C': 0.002686025408348458, 'P_EGA_D': 0.04987295825771325, 'P_EGA_E': 0.003049001814882033, 'R_EGA_A+B': 0.8491470054446462, 'R_EGA_A': 0.6121234119782214, 'R_EGA_B': 0.2370235934664247, 'R_EGA_uC': 0.022431941923774953, 'R_EGA_lC': 0.01793103448275862, 'R_EGA_uD': 0.03484573502722323, 'R_EGA_lD': 0.04036297640653357, 'R_EGA_uE': 0.01960072595281307, 'R_EGA_lE': 0.015680580762250453}, {'RMSE': 0.2629322657770859, 'MAPE': 0.2810978397256505, 'MASE': 0.004093806994505323, 'TG': 0.0, 'CG_EGA_AP': 0.00216085314934841, 'CG_EGA_BE': 0.002966652158504907, 'CG_EGA_EP': 0.0023139567986220325, 'CG_EGA_AP_hypo': 0.01408450704225352, 'CG_EGA_BE_hypo': 0.0, 'CG_EGA_EP_hypo': 0.014084507042253547, 'CG_EGA_AP_eu': 0.003426468696942468, 'CG_EGA_BE_eu': 0.0033475309318080912, 'CG_EGA_EP_eu': 0.0032950311137328585, 'CG_EGA_AP_hyper': 0.0031881387793125417, 'CG_EGA_BE_hyper': 0.002690775468914398, 'CG_EGA_EP_hyper': 0.0025581424049690377, 'P_EGA_A+B': 0.0012233974262324794, 'P_EGA_A': 0.003978857235875055, 'P_EGA_B': 0.00315601671423364, 'P_EGA_C': 0.0004923651530399469, 'P_EGA_D': 0.0015331188444241638, 'P_EGA_E': 0.00029038112522686033, 'R_EGA_A+B': 0.002798451581473181, 'R_EGA_A': 0.004097616200847921, 'R_EGA_B': 0.00335826744282261, 'R_EGA_uC': 0.0010111352651313338, 'R_EGA_lC': 0.0009353247714501005, 'R_EGA_uD': 0.0022725917738654847, 'R_EGA_lD': 0.0006653467433692717, 'R_EGA_uE': 0.0012986238707802765, 'R_EGA_lE': 0.0012657419799755138})
here
params: svr
exp: NOV_3_2023
ph: 60
past here
