2023-11-06 18:05:51 ohio 563 svr svr NOV_3_2023 test None 60 1
2023-11-06 18:06:04 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.001, 'gamma': 1e-05} [1.3274856985299603]
2023-11-06 18:06:09 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.001, 'gamma': 0.0001} [1.2358266531215059]
2023-11-06 18:06:14 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.001, 'gamma': 0.001} [1.1091179144348573]
2023-11-06 18:06:19 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.01, 'gamma': 1e-05} [1.3278093059746403]
2023-11-06 18:06:23 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.01, 'gamma': 0.0001} [1.236125723276907]
2023-11-06 18:06:28 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.01, 'gamma': 0.001} [1.1091835175933038]
2023-11-06 18:06:32 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.1, 'gamma': 1e-05} [1.327706083265386]
2023-11-06 18:06:37 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.1, 'gamma': 0.0001} [1.2353363921395644]
2023-11-06 18:06:41 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.1, 'gamma': 0.001} [1.1075091145262812]
2023-11-06 18:06:46 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.001, 'gamma': 1e-05} [0.9188577275311852]
2023-11-06 18:06:50 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.001, 'gamma': 0.0001} [0.8853426891034567]
2023-11-06 18:06:55 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.001, 'gamma': 0.001} [0.8772536020126523]
2023-11-06 18:07:00 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.01, 'gamma': 1e-05} [0.9186371470102621]
2023-11-06 18:07:05 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.01, 'gamma': 0.0001} [0.8850884691160631]
2023-11-06 18:07:10 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.01, 'gamma': 0.001} [0.877121411487413]
2023-11-06 18:07:14 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 1e-05} [0.9178175639940267]
2023-11-06 18:07:18 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 0.0001} [0.8838655319977691]
2023-11-06 18:07:22 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 0.001} [0.8733790744183267]
2023-11-06 18:07:27 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.001, 'gamma': 1e-05} [0.8666521476654543]
2023-11-06 18:07:38 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.001, 'gamma': 0.0001} [0.8687208860104719]
2023-11-06 18:08:39 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.001, 'gamma': 0.001} [1.4887970464136446]
2023-11-06 18:08:44 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.01, 'gamma': 1e-05} [0.8670696145351244]
2023-11-06 18:08:55 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.01, 'gamma': 0.0001} [0.8703083952702143]
2023-11-06 18:09:43 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.01, 'gamma': 0.001} [1.481374414279338]
2023-11-06 18:09:48 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 1e-05} [0.8610657433759084]
2023-11-06 18:09:57 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 0.0001} [0.8672667150014961]
2023-11-06 18:10:38 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 0.001} [1.3754548339436368]
2023-11-06 18:10:43 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.0316227766016838, 'gamma': 3.1622776601683796e-06} [0.8551799782993315]
2023-11-06 18:10:47 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.0316227766016838, 'gamma': 1e-05} [0.8502342629463373]
2023-11-06 18:10:52 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.0316227766016838, 'gamma': 3.1622776601683795e-05} [0.871125393321961]
2023-11-06 18:10:56 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.1, 'gamma': 3.1622776601683796e-06} [0.8550867445788757]
2023-11-06 18:11:00 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.1, 'gamma': 1e-05} [0.8493293622404638]
2023-11-06 18:11:04 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.1, 'gamma': 3.1622776601683795e-05} [0.8665614922492567]
2023-11-06 18:11:07 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.316227766016838, 'gamma': 3.1622776601683796e-06} [0.8526239967608635]
2023-11-06 18:11:10 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.316227766016838, 'gamma': 1e-05} [0.8448261721373552]
2023-11-06 18:11:13 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.316227766016838, 'gamma': 3.1622776601683795e-05} [0.8570891952880951]
2023-11-06 18:11:18 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.0316227766016838, 'gamma': 3.1622776601683796e-06} [0.8463273443203432]
2023-11-06 18:11:23 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.0316227766016838, 'gamma': 1e-05} [0.8656005049345472]
2023-11-06 18:11:29 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.0316227766016838, 'gamma': 3.1622776601683795e-05} [0.8570343163902476]
2023-11-06 18:11:34 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 3.1622776601683796e-06} [0.8448916223629329]
2023-11-06 18:11:38 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 1e-05} [0.8610657433759084]
2023-11-06 18:11:44 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 3.1622776601683795e-05} [0.8587098817776384]
2023-11-06 18:11:47 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.316227766016838, 'gamma': 3.1622776601683796e-06} [0.8382752787607378]
2023-11-06 18:11:50 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.316227766016838, 'gamma': 1e-05} [0.8517500693960547]
2023-11-06 18:11:53 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.316227766016838, 'gamma': 3.1622776601683795e-05} [0.853365429199467]
2023-11-06 18:12:01 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.0316227766016838, 'gamma': 3.1622776601683796e-06} [0.864920829726817]
2023-11-06 18:12:15 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.0316227766016838, 'gamma': 1e-05} [0.8535160931921036]
2023-11-06 18:12:51 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.0316227766016838, 'gamma': 3.1622776601683795e-05} [0.9020280788754316]
2023-11-06 18:12:58 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.1, 'gamma': 3.1622776601683796e-06} [0.8598863267756118]
