2023-12-13 16:25:03 t1dms 6 ffnn ffnn DEC_8_2023 test None 60 1
2023-12-13 16:25:03 Saved model's file: ./tmp/lstm_weights/3136127.pt
2023-12-13 16:25:04 0 [train] 1.0333872547461873 [valid] 0.7568105459213257
2023-12-13 16:25:04 0 [train] 0.9957197124049777 [valid] 0.7298945188522339
2023-12-13 16:25:04 1 [train] 0.9600256981239432 [valid] 0.7045793533325195
2023-12-13 16:25:04 2 [train] 0.9258709704237325 [valid] 0.6805643439292908
2023-12-13 16:25:04 3 [train] 0.8931454455568677 [valid] 0.6577113270759583
2023-12-13 16:25:04 4 [train] 0.8613332857688268 [valid] 0.6355657577514648
2023-12-13 16:25:04 5 [train] 0.8302686138167268 [valid] 0.6141846776008606
2023-12-13 16:25:04 6 [train] 0.7997490077146462 [valid] 0.5933422446250916
2023-12-13 16:25:04 7 [train] 0.7697598288456599 [valid] 0.572816014289856
2023-12-13 16:25:04 8 [train] 0.7404624800242129 [valid] 0.552449643611908
2023-12-13 16:25:04 9 [train] 0.7120779475995472 [valid] 0.5328556895256042
2023-12-13 16:25:04 10 [train] 0.6846771401663622 [valid] 0.5138927102088928
2023-12-13 16:25:04 11 [train] 0.658472605936584 [valid] 0.49580690264701843
2023-12-13 16:25:04 12 [train] 0.6335183421061152 [valid] 0.4789499342441559
2023-12-13 16:25:04 13 [train] 0.6098317477319922 [valid] 0.4633306562900543
2023-12-13 16:25:04 14 [train] 0.5873706351433482 [valid] 0.4486798644065857
2023-12-13 16:25:04 15 [train] 0.5660606338864281 [valid] 0.43498143553733826
2023-12-13 16:25:04 16 [train] 0.5457046102909815 [valid] 0.42183220386505127
2023-12-13 16:25:04 17 [train] 0.526054607970374 [valid] 0.40920427441596985
2023-12-13 16:25:04 18 [train] 0.5070618917012498 [valid] 0.3969244956970215
2023-12-13 16:25:04 19 [train] 0.48856095331055777 [valid] 0.3846462070941925
2023-12-13 16:25:04 20 [train] 0.47054107061454226 [valid] 0.372579962015152
2023-12-13 16:25:04 21 [train] 0.4530336534870522 [valid] 0.360590398311615
2023-12-13 16:25:04 22 [train] 0.43616264774685815 [valid] 0.34892693161964417
2023-12-13 16:25:04 23 [train] 0.4199400395154953 [valid] 0.3375740051269531
2023-12-13 16:25:04 24 [train] 0.40424186479122864 [valid] 0.3265036642551422
2023-12-13 16:25:04 25 [train] 0.38937588931903955 [valid] 0.3160320520401001
2023-12-13 16:25:04 26 [train] 0.37525763815002783 [valid] 0.3060630261898041
2023-12-13 16:25:04 27 [train] 0.36194918907824014 [valid] 0.29675397276878357
2023-12-13 16:25:04 28 [train] 0.34944984698224635 [valid] 0.2880486249923706
2023-12-13 16:25:04 29 [train] 0.3377880012350423 [valid] 0.28001585602760315
2023-12-13 16:25:05 30 [train] 0.3270298427946511 [valid] 0.2726159989833832
2023-12-13 16:25:05 31 [train] 0.31718835784565835 [valid] 0.2658787965774536
2023-12-13 16:25:05 32 [train] 0.30819516185493695 [valid] 0.259765625
2023-12-13 16:25:05 33 [train] 0.30007055845289005 [valid] 0.2541842460632324
2023-12-13 16:25:05 34 [train] 0.29275661813361303 [valid] 0.24901491403579712
2023-12-13 16:25:05 35 [train] 0.28631813300862197 [valid] 0.24443981051445007
2023-12-13 16:25:05 36 [train] 0.28065425769558977 [valid] 0.24033042788505554
2023-12-13 16:25:05 37 [train] 0.275750580288115 [valid] 0.23683585226535797
2023-12-13 16:25:05 38 [train] 0.27145101094529744 [valid] 0.23381836712360382
2023-12-13 16:25:05 39 [train] 0.267705774067768 [valid] 0.231243297457695
2023-12-13 16:25:05 40 [train] 0.26436624578422024 [valid] 0.22897464036941528
2023-12-13 16:25:05 41 [train] 0.26143455780332997 [valid] 0.22714853286743164
2023-12-13 16:25:05 42 [train] 0.2588097749810134 [valid] 0.22565065324306488
2023-12-13 16:25:05 43 [train] 0.2564297405381997 [valid] 0.22447602450847626
2023-12-13 16:25:05 44 [train] 0.25428745935537983 [valid] 0.22340801358222961
2023-12-13 16:25:05 45 [train] 0.2523102426812762 [valid] 0.2224750816822052
2023-12-13 16:25:05 46 [train] 0.25045107154264334 [valid] 0.22156867384910583
2023-12-13 16:25:05 47 [train] 0.24870333310571455 [valid] 0.2208722084760666
2023-12-13 16:25:05 48 [train] 0.24703927834828696 [valid] 0.2202424257993698
2023-12-13 16:25:05 49 [train] 0.24545122567741645 [valid] 0.2197592556476593
2023-12-13 16:25:05 50 [train] 0.24397270962418544 [valid] 0.2192186564207077
2023-12-13 16:25:05 51 [train] 0.24248643361386799 [valid] 0.21850141882896423
2023-12-13 16:25:05 52 [train] 0.24109716030458608 [valid] 0.21767526865005493
2023-12-13 16:25:05 53 [train] 0.23976312515636286 [valid] 0.21699722111225128
2023-12-13 16:25:05 54 [train] 0.2383754774041119 [valid] 0.21633177995681763
2023-12-13 16:25:05 55 [train] 0.23710372760182336 [valid] 0.21560487151145935
2023-12-13 16:25:05 56 [train] 0.23585904269878352 [valid] 0.21496383845806122
2023-12-13 16:25:05 57 [train] 0.23461927127625262 [valid] 0.21424360573291779
2023-12-13 16:25:05 58 [train] 0.23341416762698264 [valid] 0.2136390507221222
2023-12-13 16:25:05 59 [train] 0.23234895723206656 [valid] 0.21323411166667938
2023-12-13 16:25:05 60 [train] 0.23108905496164447 [valid] 0.21289846301078796
2023-12-13 16:25:05 61 [train] 0.22995629946568183 [valid] 0.21267050504684448
2023-12-13 16:25:05 62 [train] 0.22883473168171586 [valid] 0.2124452143907547
2023-12-13 16:25:05 63 [train] 0.22773042875563815 [valid] 0.21211373805999756
2023-12-13 16:25:05 64 [train] 0.22659387820888133 [valid] 0.21165743470191956
2023-12-13 16:25:06 65 [train] 0.22551873162211405 [valid] 0.2111877053976059
2023-12-13 16:25:06 66 [train] 0.22441072141130766 [valid] 0.21069590747356415
2023-12-13 16:25:06 67 [train] 0.22334266857554516 [valid] 0.21022234857082367
2023-12-13 16:25:06 68 [train] 0.22229132317893563 [valid] 0.2098587155342102
2023-12-13 16:25:06 69 [train] 0.2212616197676176 [valid] 0.20954659581184387
