2023-12-14 21:05:17 ohio 588 gp gp DEC_8_2023 test None 30 1
2023-12-14 21:05:24 {'hist': 180, 'alpha': 0.001, 'sigma_0': 1.0} [0.4914999070126009]
2023-12-14 21:05:28 {'hist': 180, 'alpha': 0.01, 'sigma_0': 1.0} [0.49149846192265173]
2023-12-14 21:05:31 {'hist': 180, 'alpha': 0.1, 'sigma_0': 1.0} [0.49148424152253045]
2023-12-14 21:05:34 {'hist': 180, 'alpha': 1.0, 'sigma_0': 1.0} [0.49136275361375725]
2023-12-14 21:05:37 {'hist': 180, 'alpha': 10.0, 'sigma_0': 1.0} [0.4911127164915156]
2023-12-14 21:05:40 {'hist': 180, 'alpha': 100.0, 'sigma_0': 1.0} [0.4940920242769598]
2023-12-14 21:05:43 {'hist': 180, 'alpha': 3.1622776601683795, 'sigma_0': 1.0} [0.49118443794180516]
2023-12-14 21:05:46 {'hist': 180, 'alpha': 10.0, 'sigma_0': 1.0} [0.4911127164915156]
2023-12-14 21:05:50 {'hist': 180, 'alpha': 31.622776601683796, 'sigma_0': 1.0} [0.4918888839548271]
2023-12-14 21:05:53 {'hist': 180, 'alpha': 100.00000000000001, 'sigma_0': 1.0} [0.49409202427696014]
2023-12-14 21:06:12 ({'RMSE': 18.42100185857307, 'MAPE': 8.320916018360354, 'MASE': 0.8553472932243789, 'TG': 5.0, 'CG_EGA_AP': 0.83493543758967, 'CG_EGA_BE': 0.1332855093256815, 'CG_EGA_EP': 0.03177905308464849, 'CG_EGA_AP_hypo': 0.0, 'CG_EGA_BE_hypo': 0.0, 'CG_EGA_EP_hypo': 1.0, 'CG_EGA_AP_eu': 0.8530343007915567, 'CG_EGA_BE_eu': 0.11767810026385224, 'CG_EGA_EP_eu': 0.029287598944591032, 'CG_EGA_AP_hyper': 0.8159305993690852, 'CG_EGA_BE_hyper': 0.15236593059936906, 'CG_EGA_EP_hyper': 0.031703470031545736, 'P_EGA_A+B': 0.9985652797704446, 'P_EGA_A': 0.9476327116212339, 'P_EGA_B': 0.05093256814921091, 'P_EGA_C': 0.0, 'P_EGA_D': 0.0014347202295552368, 'P_EGA_E': 0.0, 'R_EGA_A+B': 0.8363701578192252, 'R_EGA_A': 0.5974892395982783, 'R_EGA_B': 0.2388809182209469, 'R_EGA_uC': 0.05652797704447633, 'R_EGA_lC': 0.038593974175035864, 'R_EGA_uD': 0.010043041606886658, 'R_EGA_lD': 0.028120516499282638, 'R_EGA_uE': 0.010616929698708751, 'R_EGA_lE': 0.019727403156384504}, {'RMSE': 0.12451559092150147, 'MAPE': 0.06163798316484612, 'MASE': 0.0068798181160256745, 'TG': 0.0, 'CG_EGA_AP': 0.00723218545832341, 'CG_EGA_BE': 0.0055269326497154134, 'CG_EGA_EP': 0.0018373383751600708, 'CG_EGA_AP_hypo': 0.0, 'CG_EGA_BE_hypo': 0.0, 'CG_EGA_EP_hypo': 0.0, 'CG_EGA_AP_eu': 0.005116284809938043, 'CG_EGA_BE_eu': 0.0042870915064042, 'CG_EGA_EP_eu': 0.0009872446930801965, 'CG_EGA_AP_hyper': 0.009933152362040253, 'CG_EGA_BE_hyper': 0.007354285947555056, 'CG_EGA_EP_hyper': 0.0029254317020491164, 'P_EGA_A+B': 1.1102230246251565e-16, 'P_EGA_A': 0.0022342053805448256, 'P_EGA_B': 0.002234205380544825, 'P_EGA_C': 0.0, 'P_EGA_D': 0.0, 'P_EGA_E': 0.0, 'R_EGA_A+B': 0.007232185458323416, 'R_EGA_A': 0.008152064689151653, 'R_EGA_B': 0.0024220865159446337, 'R_EGA_uC': 0.00364091177631263, 'R_EGA_lC': 0.002342156057003516, 'R_EGA_uD': 0.0010145004034240286, 'R_EGA_lD': 0.0011917681295434824, 'R_EGA_uE': 0.0007385674419646347, 'R_EGA_lE': 0.0013031493633131248})
