2023-11-09 02:20:50 ohio 591 svr svr NOV_3_2023 test None 30 1
2023-11-09 02:21:03 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.001, 'gamma': 1e-05} [0.9215940620401236]
2023-11-09 02:21:06 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.001, 'gamma': 0.0001} [0.8420281781415753]
2023-11-09 02:21:10 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.001, 'gamma': 0.001} [0.6460883025301053]
2023-11-09 02:21:14 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.01, 'gamma': 1e-05} [0.921686533602805]
2023-11-09 02:21:17 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.01, 'gamma': 0.0001} [0.841826849209487]
2023-11-09 02:21:21 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.01, 'gamma': 0.001} [0.6460446775628818]
2023-11-09 02:21:24 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.1, 'gamma': 1e-05} [0.9213716661256142]
2023-11-09 02:21:28 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.1, 'gamma': 0.0001} [0.8418252493135013]
2023-11-09 02:21:31 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.1, 'gamma': 0.001} [0.6469661026519098]
2023-11-09 02:21:35 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.001, 'gamma': 1e-05} [0.5606966251727182]
2023-11-09 02:21:38 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.001, 'gamma': 0.0001} [0.49918607970101914]
2023-11-09 02:21:42 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.001, 'gamma': 0.001} [0.47823953372481515]
2023-11-09 02:21:46 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.01, 'gamma': 1e-05} [0.5609237778878737]
2023-11-09 02:21:50 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.01, 'gamma': 0.0001} [0.4990519010327742]
2023-11-09 02:21:54 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.01, 'gamma': 0.001} [0.4783651866739446]
2023-11-09 02:21:57 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 1e-05} [0.5627186358046556]
2023-11-09 02:22:00 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 0.0001} [0.49939869128506204]
2023-11-09 02:22:03 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 0.001} [0.47642799858982565]
2023-11-09 02:22:07 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.001, 'gamma': 1e-05} [0.47523136324852683]
2023-11-09 02:22:18 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.001, 'gamma': 0.0001} [0.4881369652003002]
2023-11-09 02:23:19 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.001, 'gamma': 0.001} [0.6087704992850619]
2023-11-09 02:23:23 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.01, 'gamma': 1e-05} [0.4748265856245707]
2023-11-09 02:23:33 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.01, 'gamma': 0.0001} [0.4876845393293614]
2023-11-09 02:24:21 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.01, 'gamma': 0.001} [0.6055064421089165]
2023-11-09 02:24:25 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 1e-05} [0.47362502515443916]
2023-11-09 02:24:33 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 0.0001} [0.4829259584529422]
2023-11-09 02:25:09 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 0.001} [0.5790693297523298]
2023-11-09 02:25:12 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.0316227766016838, 'gamma': 3.1622776601683796e-06} [0.5080701080368126]
2023-11-09 02:25:16 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.0316227766016838, 'gamma': 1e-05} [0.4934457865843683]
2023-11-09 02:25:20 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.0316227766016838, 'gamma': 3.1622776601683795e-05} [0.484319850938486]
2023-11-09 02:25:23 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.1, 'gamma': 3.1622776601683796e-06} [0.508242667282228]
2023-11-09 02:25:26 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.1, 'gamma': 1e-05} [0.49338894385435056]
2023-11-09 02:25:29 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.1, 'gamma': 3.1622776601683795e-05} [0.4825443763236966]
2023-11-09 02:25:30 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.316227766016838, 'gamma': 3.1622776601683796e-06} [0.5100824695987652]
2023-11-09 02:25:32 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.316227766016838, 'gamma': 1e-05} [0.4908049390180251]
2023-11-09 02:25:34 {'hist': 180, 'kernel': 'rbf', 'C': 56.2341325190349, 'epsilon': 0.316227766016838, 'gamma': 3.1622776601683795e-05} [0.4811738218140007]
2023-11-09 02:25:37 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.0316227766016838, 'gamma': 3.1622776601683796e-06} [0.4787103784977739]
2023-11-09 02:25:42 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.0316227766016838, 'gamma': 1e-05} [0.4744269821416932]
2023-11-09 02:25:47 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.0316227766016838, 'gamma': 3.1622776601683795e-05} [0.4793270471671334]
2023-11-09 02:25:50 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 3.1622776601683796e-06} [0.4775702120114699]
2023-11-09 02:25:54 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 1e-05} [0.47362502515443916]
2023-11-09 02:25:58 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 3.1622776601683795e-05} [0.47735357880781554]
2023-11-09 02:26:00 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.316227766016838, 'gamma': 3.1622776601683796e-06} [0.4745265868268211]
2023-11-09 02:26:01 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.316227766016838, 'gamma': 1e-05} [0.4701763265144779]
2023-11-09 02:26:04 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.316227766016838, 'gamma': 3.1622776601683795e-05} [0.4748353050413353]
2023-11-09 02:26:10 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.0316227766016838, 'gamma': 3.1622776601683796e-06} [0.47187814875840745]
2023-11-09 02:26:25 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.0316227766016838, 'gamma': 1e-05} [0.48076172738739864]
2023-11-09 02:27:05 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.0316227766016838, 'gamma': 3.1622776601683795e-05} [0.49176215800334294]
2023-11-09 02:27:11 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.1, 'gamma': 3.1622776601683796e-06} [0.47071715763705224]
2023-11-09 02:27:22 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.1, 'gamma': 1e-05} [0.47945703679426654]
2023-11-09 02:27:53 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.1, 'gamma': 3.1622776601683795e-05} [0.48976078908840043]
2023-11-09 02:27:55 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.316227766016838, 'gamma': 3.1622776601683796e-06} [0.46706275344424225]
2023-11-09 02:28:01 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.316227766016838, 'gamma': 1e-05} [0.47519671637903066]
2023-11-09 02:28:15 {'hist': 180, 'kernel': 'rbf', 'C': 17782.79410038923, 'epsilon': 0.316227766016838, 'gamma': 3.1622776601683795e-05} [0.4858103979173413]
2023-11-09 02:28:30 ({'RMSE': 23.28535755407546, 'MAPE': 13.215357299534485, 'MASE': 0.8954254671931274, 'TG': 5.0, 'CG_EGA_AP': 0.7509255898366607, 'CG_EGA_BE': 0.17103448275862068, 'CG_EGA_EP': 0.07803992740471868, 'CG_EGA_AP_hypo': 0.31971830985915495, 'CG_EGA_BE_hypo': 0.1028169014084507, 'CG_EGA_EP_hypo': 0.5774647887323944, 'CG_EGA_AP_eu': 0.7772506738544475, 'CG_EGA_BE_eu': 0.17326145552560648, 'CG_EGA_EP_eu': 0.0494878706199461, 'CG_EGA_AP_hyper': 0.7672823218997362, 'CG_EGA_BE_hyper': 0.17836411609498679, 'CG_EGA_EP_hyper': 0.054353562005277044, 'P_EGA_A+B': 0.9713974591651542, 'P_EGA_A': 0.8709981851179673, 'P_EGA_B': 0.10039927404718693, 'P_EGA_C': 0.0005807622504537204, 'P_EGA_D': 0.02693284936479129, 'P_EGA_E': 0.001088929219600726, 'R_EGA_A+B': 0.7748094373865699, 'R_EGA_A': 0.5242105263157895, 'R_EGA_B': 0.25059891107078036, 'R_EGA_uC': 0.0693284936479129, 'R_EGA_lC': 0.061343012704174235, 'R_EGA_uD': 0.017931034482758616, 'R_EGA_lD': 0.025916515426497276, 'R_EGA_uE': 0.02729582577132486, 'R_EGA_lE': 0.023375680580762247}, {'RMSE': 0.06534325156573177, 'MAPE': 0.08571259169881017, 'MASE': 0.0025343702669127855, 'TG': 0.0, 'CG_EGA_AP': 0.002265624179212663, 'CG_EGA_BE': 0.002925508773809057, 'CG_EGA_EP': 0.002374653681857877, 'CG_EGA_AP_hypo': 0.021637030275686215, 'CG_EGA_BE_hypo': 0.007181717624778571, 'CG_EGA_EP_hypo': 0.027092090227706082, 'CG_EGA_AP_eu': 0.003937893772021477, 'CG_EGA_BE_eu': 0.0026759404088390055, 'CG_EGA_EP_eu': 0.0023963461747593387, 'CG_EGA_AP_hyper': 0.003399498344782341, 'CG_EGA_BE_hyper': 0.003859825551009972, 'CG_EGA_EP_hyper': 0.0041215037867581295, 'P_EGA_A+B': 0.0013464418868233323, 'P_EGA_A': 0.0039999934124010095, 'P_EGA_B': 0.002918294191251075, 'P_EGA_C': 0.00017782139693525793, 'P_EGA_D': 0.001346441886823332, 'P_EGA_E': 0.0, 'R_EGA_A+B': 0.0032756483985999347, 'R_EGA_A': 0.004064039202113505, 'R_EGA_B': 0.0026732417625440195, 'R_EGA_uC': 0.0027452153032579358, 'R_EGA_lC': 0.0012781718229879513, 'R_EGA_uD': 0.0022445916274033114, 'R_EGA_lD': 0.0023025410565740406, 'R_EGA_uE': 0.0010619774111308737, 'R_EGA_lE': 0.0015838420493119012})
here
params: svr
exp: NOV_3_2023
ph: 30
past here
