2023-12-14 20:58:25 ohio 563 gp gp DEC_8_2023 test None 60 1
2023-12-14 20:58:33 {'hist': 180, 'alpha': 0.001, 'sigma_0': 1.0} [0.8174552717156447]
2023-12-14 20:58:36 {'hist': 180, 'alpha': 0.01, 'sigma_0': 1.0} [0.817454210510764]
2023-12-14 20:58:39 {'hist': 180, 'alpha': 0.1, 'sigma_0': 1.0} [0.8174439410317071]
2023-12-14 20:58:42 {'hist': 180, 'alpha': 1.0, 'sigma_0': 1.0} [0.8173706155322108]
2023-12-14 20:58:45 {'hist': 180, 'alpha': 10.0, 'sigma_0': 1.0} [0.8176049113121561]
2023-12-14 20:58:48 {'hist': 180, 'alpha': 100.0, 'sigma_0': 1.0} [0.8218376089329744]
2023-12-14 20:58:50 {'hist': 180, 'alpha': 0.31622776601683794, 'sigma_0': 1.0} [0.8174217246995489]
2023-12-14 20:58:53 {'hist': 180, 'alpha': 1.0, 'sigma_0': 1.0} [0.8173706155322108]
2023-12-14 20:58:56 {'hist': 180, 'alpha': 3.1622776601683795, 'sigma_0': 1.0} [0.817329055923681]
2023-12-14 20:58:59 {'hist': 180, 'alpha': 10.000000000000002, 'sigma_0': 1.0} [0.8176049113121883]
2023-12-14 20:59:13 ({'RMSE': 30.692445314946525, 'MAPE': 13.551329806726411, 'MASE': 0.8568468011709355, 'TG': 5.0, 'CG_EGA_AP': 0.7612626656274357, 'CG_EGA_BE': 0.17716289945440372, 'CG_EGA_EP': 0.06157443491816056, 'CG_EGA_AP_hypo': 0.16666666666666666, 'CG_EGA_BE_hypo': 0.0, 'CG_EGA_EP_hypo': 0.8333333333333334, 'CG_EGA_AP_eu': 0.7969072164948454, 'CG_EGA_BE_eu': 0.15850515463917525, 'CG_EGA_EP_eu': 0.044587628865979376, 'CG_EGA_AP_hyper': 0.7164658634538152, 'CG_EGA_BE_hyper': 0.20943775100401604, 'CG_EGA_EP_hyper': 0.07409638554216867, 'P_EGA_A+B': 0.9858924395947, 'P_EGA_A': 0.8256430241621201, 'P_EGA_B': 0.1602494154325799, 'P_EGA_C': 0.0003897116134060795, 'P_EGA_D': 0.01293842556508184, 'P_EGA_E': 0.000779423226812159, 'R_EGA_A+B': 0.768978955572876, 'R_EGA_A': 0.48183943881527674, 'R_EGA_B': 0.28713951675759936, 'R_EGA_uC': 0.08176149649259548, 'R_EGA_lC': 0.07365549493374904, 'R_EGA_uD': 0.010600155884645362, 'R_EGA_lD': 0.01636788776305534, 'R_EGA_uE': 0.026656274356975835, 'R_EGA_lE': 0.021979734996102885}, {'RMSE': 0.23253712121953404, 'MAPE': 0.09809926060178638, 'MASE': 0.005537401280209098, 'TG': 0.0, 'CG_EGA_AP': 0.00756321712904641, 'CG_EGA_BE': 0.007017406637784808, 'CG_EGA_EP': 0.0025495599740913695, 'CG_EGA_AP_hypo': 0.0, 'CG_EGA_BE_hypo': 0.0, 'CG_EGA_EP_hypo': 0.0, 'CG_EGA_AP_eu': 0.008473856815862697, 'CG_EGA_BE_eu': 0.007699674869221477, 'CG_EGA_EP_eu': 0.001699859015241355, 'CG_EGA_AP_hyper': 0.007688429606054894, 'CG_EGA_BE_hyper': 0.006556155709764859, 'CG_EGA_EP_hyper': 0.004325433580027713, 'P_EGA_A+B': 0.0012421962159399175, 'P_EGA_A': 0.002128838703623948, 'P_EGA_B': 0.002542401625923633, 'P_EGA_C': 0.0, 'P_EGA_D': 0.0012421962159399245, 'P_EGA_E': 0.0, 'R_EGA_A+B': 0.007729269416254517, 'R_EGA_A': 0.009387440129005338, 'R_EGA_B': 0.0020533031757318074, 'R_EGA_uC': 0.00412726493994504, 'R_EGA_lC': 0.002967955224420852, 'R_EGA_uD': 0.0012901750083590688, 'R_EGA_lD': 0.0006521122576259355, 'R_EGA_uE': 0.001062991558611525, 'R_EGA_lE': 0.0005832669348049792})
